,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,game_id,winning_team,date,description
172,penalty,Roughing,Matt Grzelcyk,Dillon Dube,[20. 33.],2,05:28,BOS,CGY,BOS,6,CGY,20,1,2,8476891,8479346.0,2019020968,,2020-02-26,Matt Grzelcyk Roughing against Dillon Dube
47,penalty,Tripping,Tyler Seguin,Chris Wagner,[14. 14.],1,06:53,DAL,BOS,BOS,6,DAL,25,0,0,8475794,8475780.0,2019020984,,2020-02-28,Tyler Seguin Tripping against Chris Wagner
67,penalty,Hooking,Matt Grzelcyk,Radek Faksa,[-93.  12.],1,02:56,BOS,DAL,BOS,6,DAL,25,0,0,8476891,8476889.0,2019020984,,2020-02-28,Matt Grzelcyk Hooking against Radek Faksa
75,penalty,Slashing,Andrew Cogliano,Charlie Coyle,[55. 38.],1,01:42,DAL,BOS,BOS,6,DAL,25,0,1,8471699,8475745.0,2019020984,,2020-02-28,Andrew Cogliano Slashing against Charlie Coyle
143,penalty,Fighting,Joe Pavelski,David Krejci,[ 63. -13.],2,08:36,DAL,BOS,BOS,6,DAL,25,1,1,8470794,8471276.0,2019020984,,2020-02-28,Joe Pavelski Fighting against David Krejci
144,penalty,Fighting,David Krejci,Joe Pavelski,[ 65. -22.],2,08:36,BOS,DAL,BOS,6,DAL,25,1,1,8471276,8470794.0,2019020984,,2020-02-28,David Krejci Fighting against Joe Pavelski
177,penalty,Roughing,Chris Wagner,Mattias Janmark,[-69. -17.],2,01:11,BOS,DAL,BOS,6,DAL,25,3,1,8475780,8477406.0,2019020984,,2020-02-28,Chris Wagner Roughing against Mattias Janmark
54,penalty,Interference,Nick Ritchie,Anthony Beauvillier,[ 34. -26.],1,05:29,BOS,NYI,NYI,2,BOS,6,0,2,8477941,8478463.0,2019020999,,2020-02-29,Nick Ritchie Interference against Anthony Beauvillier
74,penalty,Tripping,David Pastrnak,Nick Leddy,[-92.  19.],1,01:03,BOS,NYI,NYI,2,BOS,6,0,2,8477956,8475181.0,2019020999,,2020-02-29,David Pastrnak Tripping against Nick Leddy
118,penalty,Tripping,Leo Komarov,Par Lindholm,[-44.  39.],2,11:40,NYI,BOS,NYI,2,BOS,6,0,2,8473463,8480944.0,2019020999,,2020-02-29,Leo Komarov Tripping against Par Lindholm
128,penalty,Hi-sticking,Cal Clutterbuck,David Pastrnak,[75.  0.],2,10:12,NYI,BOS,NYI,2,BOS,6,0,2,8473504,8477956.0,2019020999,,2020-02-29,Cal Clutterbuck Hi-sticking against David Pastrnak
146,penalty,Slashing,Zdeno Chara,Mathew Barzal,[-77.   5.],2,05:28,BOS,NYI,NYI,2,BOS,6,0,2,8465009,8478445.0,2019020999,,2020-02-29,Zdeno Chara Slashing against Mathew Barzal
162,penalty,Cross checking,Nick Ritchie,Johnny Boychuk,[-60.  20.],2,01:58,BOS,NYI,NYI,2,BOS,6,0,2,8477941,8470187.0,2019020999,,2020-02-29,Nick Ritchie Cross checking against Johnny Boychuk
235,penalty,Roughing,David Pastrnak,Leo Komarov,[-53. -40.],3,06:13,BOS,NYI,NYI,2,BOS,6,0,3,8477956,8473463.0,2019020999,,2020-02-29,David Pastrnak Roughing against Leo Komarov
241,penalty,Hooking,Mathew Barzal,Charlie McAvoy,[ 96. -20.],3,05:06,NYI,BOS,NYI,2,BOS,6,0,3,8478445,8479325.0,2019020999,,2020-02-29,Mathew Barzal Hooking against Charlie McAvoy
256,penalty,Holding,Jeremy Lauzon,Leo Komarov,[71.  2.],3,01:13,BOS,NYI,NYI,2,BOS,6,0,4,8478468,8473463.0,2019020999,,2020-02-29,Jeremy Lauzon Holding against Leo Komarov
14,penalty,Hooking,Kevin Shattenkirk,David Krejci,[-66.  -3.],1,17:25,TBL,BOS,TBL,14,BOS,6,0,0,8474031,8471276.0,2019021019,,2020-03-04,Kevin Shattenkirk Hooking against David Krejci
62,penalty,Tripping,Brandon Carlo,Pat Maroon,[87. 32.],1,05:51,BOS,TBL,TBL,14,BOS,6,0,0,8478443,8474034.0,2019021019,,2020-03-04,Brandon Carlo Tripping against Pat Maroon
115,penalty,Tripping,Yanni Gourde,Charlie Coyle,[-77. -35.],2,14:14,TBL,BOS,TBL,14,BOS,6,0,1,8476826,8475745.0,2019021019,,2020-03-04,Yanni Gourde Tripping against Charlie Coyle
140,penalty,Slashing,Mikhail Sergachev,Jake DeBrusk,[ 93. -20.],2,07:06,TBL,BOS,TBL,14,BOS,6,0,2,8479410,8478498.0,2019021019,,2020-03-04,Mikhail Sergachev Slashing against Jake DeBrusk
165,penalty,Fighting,Yanni Gourde,Joakim Nordstrom,[-70.  16.],2,00:04,TBL,BOS,TBL,14,BOS,6,1,2,8476826,8475807.0,2019021019,,2020-03-04,Yanni Gourde Fighting against Joakim Nordstrom
166,penalty,Fighting,Joakim Nordstrom,Yanni Gourde,[-69.  22.],2,00:04,BOS,TBL,TBL,14,BOS,6,1,2,8475807,8476826.0,2019021019,,2020-03-04,Joakim Nordstrom Fighting against Yanni Gourde
55,penalty,Tripping,Ondrej Kase,Jake DeBrusk,[-23.  41.],1,08:19,BOS,FLA,FLA,13,BOS,6,0,0,8478131,8478498.0,2019021035,,2020-03-06,Ondrej Kase Tripping against Evgenii Dadonov served by Jake DeBrusk
66,penalty,Fighting,Riley Stillman,Nick Ritchie,[ 7. 24.],1,05:25,FLA,BOS,FLA,13,BOS,6,0,0,8479388,8477941.0,2019021035,,2020-03-06,Riley Stillman Fighting against Nick Ritchie
68,penalty,Fighting,Nick Ritchie,Riley Stillman,[11. 22.],1,05:25,BOS,FLA,FLA,13,BOS,6,0,0,8477941,8479388.0,2019021035,,2020-03-06,Nick Ritchie Fighting against Riley Stillman
