,event,hitter,hittee,coords,period,period_time_remaining,hitter_team,hittee_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,hitter_id,hittee_id,description
116,hit,Timo Meier,Mikhail Sergachev,[-82. -35.],2,14:01,SJS,TBL,SJS,28,TBL,14,0,1,8478414,8479410.0,Timo Meier hit Mikhail Sergachev
117,hit,Evander Kane,Kevin Shattenkirk,[-92. -31.],2,13:59,SJS,TBL,SJS,28,TBL,14,0,1,8475169,8474031.0,Evander Kane hit Kevin Shattenkirk
137,hit,Mikhail Sergachev,Marc-Edouard Vlasic,[-99.  15.],2,09:19,TBL,SJS,SJS,28,TBL,14,0,1,8479410,8471709.0,Mikhail Sergachev hit Marc-Edouard Vlasic
140,hit,Brent Burns,Carter Verhaeghe,[ 69. -41.],2,08:28,SJS,TBL,SJS,28,TBL,14,0,1,8470613,8477409.0,Brent Burns hit Carter Verhaeghe
143,hit,Ryan McDonagh,Kevin Labanc,[-96. -23.],2,08:06,TBL,SJS,SJS,28,TBL,14,0,1,8474151,8478099.0,Ryan McDonagh hit Kevin Labanc
145,hit,Timo Meier,Jan Rutta,[-97.  15.],2,07:20,SJS,TBL,SJS,28,TBL,14,0,1,8478414,8480172.0,Timo Meier hit Jan Rutta
147,hit,Barclay Goodrow,Pat Maroon,[-5. 40.],2,07:07,SJS,TBL,SJS,28,TBL,14,0,1,8476624,8474034.0,Barclay Goodrow hit Pat Maroon
149,hit,Barclay Goodrow,Anthony Cirelli,[ 99. -16.],2,06:40,SJS,TBL,SJS,28,TBL,14,0,1,8476624,8478519.0,Barclay Goodrow hit Anthony Cirelli
150,hit,Barclay Goodrow,Tyler Johnson,[ 87. -36.],2,06:33,SJS,TBL,SJS,28,TBL,14,0,1,8476624,8474870.0,Barclay Goodrow hit Tyler Johnson
174,hit,Cedric Paquette,Radim Simek,[76. 40.],2,01:38,TBL,SJS,SJS,28,TBL,14,0,1,8476975,8480160.0,Cedric Paquette hit Radim Simek
175,hit,Cedric Paquette,Radim Simek,[98. 13.],2,01:27,TBL,SJS,SJS,28,TBL,14,0,1,8476975,8480160.0,Cedric Paquette hit Radim Simek
176,hit,Tyler Johnson,Erik Karlsson,[68. 41.],2,00:36,TBL,SJS,SJS,28,TBL,14,0,1,8474870,8474578.0,Tyler Johnson hit Erik Karlsson
179,hit,Barclay Goodrow,Carter Verhaeghe,[ 19. -41.],3,18:44,SJS,TBL,SJS,28,TBL,14,0,1,8476624,8477409.0,Barclay Goodrow hit Carter Verhaeghe
183,hit,Antti Suomela,Steven Stamkos,[ 57. -40.],3,17:50,SJS,TBL,SJS,28,TBL,14,0,1,8480965,8474564.0,Antti Suomela hit Steven Stamkos
184,hit,Erik Cernak,Kevin Labanc,[51. 40.],3,16:30,TBL,SJS,SJS,28,TBL,14,0,1,8478416,8478099.0,Erik Cernak hit Kevin Labanc
186,hit,Evander Kane,Mikhail Sergachev,[99.  3.],3,15:34,SJS,TBL,SJS,28,TBL,14,0,1,8475169,8479410.0,Evander Kane hit Mikhail Sergachev
190,hit,Carter Verhaeghe,Timo Meier,[ 50. -41.],3,14:58,TBL,SJS,SJS,28,TBL,14,0,1,8477409,8478414.0,Carter Verhaeghe hit Timo Meier
206,hit,Alex Killorn,Mario Ferraro,[-98.  10.],3,12:41,TBL,SJS,SJS,28,TBL,14,0,1,8473986,8479983.0,Alex Killorn hit Mario Ferraro
225,hit,Barclay Goodrow,Brayden Point,[-99. -15.],3,08:47,SJS,TBL,SJS,28,TBL,14,0,1,8476624,8478010.0,Barclay Goodrow hit Brayden Point
229,hit,Nikita Kucherov,Barclay Goodrow,[ 11. -41.],3,08:27,TBL,SJS,SJS,28,TBL,14,0,1,8476453,8476624.0,Nikita Kucherov hit Barclay Goodrow
237,hit,Cedric Paquette,Radim Simek,[-99. -13.],3,07:11,TBL,SJS,SJS,28,TBL,14,0,1,8476975,8480160.0,Cedric Paquette hit Radim Simek
238,hit,Alex Killorn,Radim Simek,[-97.  16.],3,06:46,TBL,SJS,SJS,28,TBL,14,0,1,8473986,8480160.0,Alex Killorn hit Radim Simek
243,hit,Timo Meier,Jan Rutta,[-62.  41.],3,05:25,SJS,TBL,SJS,28,TBL,14,0,1,8478414,8480172.0,Timo Meier hit Jan Rutta
249,hit,Yanni Gourde,Brenden Dillon,[-97.  21.],3,04:09,TBL,SJS,SJS,28,TBL,14,0,1,8476826,8475455.0,Yanni Gourde hit Brenden Dillon
255,hit,Cedric Paquette,Brenden Dillon,[-60.  40.],3,03:32,TBL,SJS,SJS,28,TBL,14,0,1,8476975,8475455.0,Cedric Paquette hit Brenden Dillon
257,hit,Melker Karlsson,Jan Rutta,[ 94. -29.],3,02:50,SJS,TBL,SJS,28,TBL,14,0,1,8477922,8480172.0,Melker Karlsson hit Jan Rutta
262,hit,Erik Cernak,Patrick Marleau,[87. 35.],3,01:38,TBL,SJS,SJS,28,TBL,14,0,2,8478416,8466139.0,Erik Cernak hit Patrick Marleau
3,hit,Cody Eakin,Cedric Paquette,[ 83. -33.],1,17:32,VGK,TBL,TBL,14,VGK,54,0,0,8475236,8476975.0,Cody Eakin hit Cedric Paquette
4,hit,Pat Maroon,Brayden McNabb,[95. -1.],1,17:28,TBL,VGK,TBL,14,VGK,54,0,0,8474034,8475188.0,Pat Maroon hit Brayden McNabb
5,hit,Carter Verhaeghe,Ryan Reaves,[97. 19.],1,16:27,TBL,VGK,TBL,14,VGK,54,0,0,8477409,8471817.0,Carter Verhaeghe hit Ryan Reaves
9,hit,Paul Stastny,Brayden Point,[ 89. -27.],1,15:45,VGK,TBL,TBL,14,VGK,54,0,0,8471669,8478010.0,Paul Stastny hit Brayden Point
18,hit,Kevin Shattenkirk,Nicolas Roy,[-81. -39.],1,13:16,TBL,VGK,TBL,14,VGK,54,0,0,8474031,8478462.0,Kevin Shattenkirk hit Nicolas Roy
19,hit,Ryan Reaves,Mikhail Sergachev,[-93. -25.],1,13:01,VGK,TBL,TBL,14,VGK,54,0,0,8471817,8479410.0,Ryan Reaves hit Mikhail Sergachev
20,hit,Mikhail Sergachev,Ryan Reaves,[-85.  33.],1,12:51,TBL,VGK,TBL,14,VGK,54,0,0,8479410,8471817.0,Mikhail Sergachev hit Ryan Reaves
23,hit,Pat Maroon,Jon Merrill,[-56. -39.],1,12:18,TBL,VGK,TBL,14,VGK,54,0,0,8474034,8475750.0,Pat Maroon hit Jon Merrill
27,hit,Nick Holden,Anthony Cirelli,[ 29. -40.],1,11:07,VGK,TBL,TBL,14,VGK,54,0,0,8474207,8478519.0,Nick Holden hit Anthony Cirelli
33,hit,Ryan McDonagh,Ryan Reaves,[31. 29.],1,10:14,TBL,VGK,TBL,14,VGK,54,0,0,8474151,8471817.0,Ryan McDonagh hit Ryan Reaves
35,hit,Ryan Reaves,Ryan McDonagh,[64. 39.],1,10:02,VGK,TBL,TBL,14,VGK,54,0,0,8471817,8474151.0,Ryan Reaves hit Ryan McDonagh
37,hit,Tomas Nosek,Yanni Gourde,[-93.  25.],1,09:47,VGK,TBL,TBL,14,VGK,54,0,0,8477931,8476826.0,Tomas Nosek hit Yanni Gourde
46,hit,William Carrier,Victor Hedman,[10. 30.],1,07:24,VGK,TBL,TBL,14,VGK,54,1,0,8477478,8475167.0,William Carrier hit Victor Hedman
50,hit,Tomas Nosek,Carter Verhaeghe,[39. 35.],1,06:43,VGK,TBL,TBL,14,VGK,54,1,0,8477931,8477409.0,Tomas Nosek hit Carter Verhaeghe
51,hit,Steven Stamkos,Brayden McNabb,[95. -8.],1,06:17,TBL,VGK,TBL,14,VGK,54,1,0,8474564,8475188.0,Steven Stamkos hit Brayden McNabb
59,hit,Erik Cernak,Chandler Stephenson,[-86.  33.],1,04:44,TBL,VGK,TBL,14,VGK,54,1,0,8478416,8476905.0,Erik Cernak hit Chandler Stephenson
63,hit,William Carrier,Ryan McDonagh,[-30.  41.],1,04:07,VGK,TBL,TBL,14,VGK,54,1,1,8477478,8474151.0,William Carrier hit Ryan McDonagh
66,hit,Cedric Paquette,Max Pacioretty,[56. 28.],1,03:32,TBL,VGK,TBL,14,VGK,54,1,1,8476975,8474157.0,Cedric Paquette hit Max Pacioretty
67,hit,Mikhail Sergachev,Ryan Reaves,[-96.  18.],1,03:24,TBL,VGK,TBL,14,VGK,54,1,1,8479410,8471817.0,Mikhail Sergachev hit Ryan Reaves
69,hit,Max Pacioretty,Nikita Kucherov,[30. 22.],1,02:50,VGK,TBL,TBL,14,VGK,54,1,1,8474157,8476453.0,Max Pacioretty hit Nikita Kucherov
71,hit,Nikita Kucherov,Reilly Smith,[-50. -40.],1,02:30,TBL,VGK,TBL,14,VGK,54,1,1,8476453,8475191.0,Nikita Kucherov hit Reilly Smith
72,hit,Paul Stastny,Erik Cernak,[-96.   5.],1,02:28,VGK,TBL,TBL,14,VGK,54,1,1,8471669,8478416.0,Paul Stastny hit Erik Cernak
84,hit,Ryan Reaves,Cedric Paquette,[-33. -17.],2,19:46,VGK,TBL,TBL,14,VGK,54,2,1,8471817,8476975.0,Ryan Reaves hit Cedric Paquette
85,hit,Cedric Paquette,Zach Whitecloud,[-97.   2.],2,19:42,TBL,VGK,TBL,14,VGK,54,2,1,8476975,8480727.0,Cedric Paquette hit Zach Whitecloud
86,hit,Pat Maroon,Nicolas Roy,[42. 37.],2,19:18,TBL,VGK,TBL,14,VGK,54,2,1,8474034,8478462.0,Pat Maroon hit Nicolas Roy
87,hit,Ryan Reaves,Alex Killorn,[-36.  13.],2,19:06,VGK,TBL,TBL,14,VGK,54,2,1,8471817,8473986.0,Ryan Reaves hit Alex Killorn
96,hit,Zach Whitecloud,Carter Verhaeghe,[-50. -36.],2,16:24,VGK,TBL,TBL,14,VGK,54,2,1,8480727,8477409.0,Zach Whitecloud hit Carter Verhaeghe
97,hit,Shea Theodore,Carter Verhaeghe,[-96.  10.],2,15:57,VGK,TBL,TBL,14,VGK,54,2,1,8477447,8477409.0,Shea Theodore hit Carter Verhaeghe
98,hit,Ryan Reaves,Mikhail Sergachev,[-33. -34.],2,15:51,VGK,TBL,TBL,14,VGK,54,2,1,8471817,8479410.0,Ryan Reaves hit Mikhail Sergachev
109,hit,Ondrej Palat,Chandler Stephenson,[ 56. -37.],2,13:40,TBL,VGK,TBL,14,VGK,54,2,1,8476292,8476905.0,Ondrej Palat hit Chandler Stephenson
128,hit,Kevin Shattenkirk,Cody Eakin,[ -8. -36.],2,08:40,TBL,VGK,TBL,14,VGK,54,2,1,8474031,8475236.0,Kevin Shattenkirk hit Cody Eakin
133,hit,Mikhail Sergachev,Tomas Nosek,[52. 39.],2,07:59,TBL,VGK,TBL,14,VGK,54,2,1,8479410,8477931.0,Mikhail Sergachev hit Tomas Nosek
136,hit,Brayden McNabb,Tyler Johnson,[-94.  14.],2,07:17,VGK,TBL,TBL,14,VGK,54,2,1,8475188,8474870.0,Brayden McNabb hit Tyler Johnson
145,hit,Mikhail Sergachev,Chandler Stephenson,[ 91. -24.],2,05:09,TBL,VGK,TBL,14,VGK,54,2,1,8479410,8476905.0,Mikhail Sergachev hit Chandler Stephenson
166,hit,Yanni Gourde,Cody Eakin,[-33.  17.],2,01:29,TBL,VGK,TBL,14,VGK,54,2,1,8476826,8475236.0,Yanni Gourde hit Cody Eakin
167,hit,Yanni Gourde,Tomas Nosek,[ 45. -39.],2,01:19,TBL,VGK,TBL,14,VGK,54,2,1,8476826,8477931.0,Yanni Gourde hit Tomas Nosek
176,hit,Mikhail Sergachev,Reilly Smith,[ -8. -39.],3,19:42,TBL,VGK,TBL,14,VGK,54,2,1,8479410,8475191.0,Mikhail Sergachev hit Reilly Smith
177,hit,Chandler Stephenson,Ondrej Palat,[51. 40.],3,18:34,VGK,TBL,TBL,14,VGK,54,2,1,8476905,8476292.0,Chandler Stephenson hit Ondrej Palat
181,hit,Cedric Paquette,Ryan Reaves,[-41.  39.],3,17:04,TBL,VGK,TBL,14,VGK,54,2,1,8476975,8471817.0,Cedric Paquette hit Ryan Reaves
184,hit,Erik Cernak,Reilly Smith,[-45.  37.],3,16:32,TBL,VGK,TBL,14,VGK,54,2,1,8478416,8475191.0,Erik Cernak hit Reilly Smith
194,hit,Cedric Paquette,Brayden McNabb,[71. 37.],3,14:42,TBL,VGK,TBL,14,VGK,54,2,2,8476975,8475188.0,Cedric Paquette hit Brayden McNabb
197,hit,Ryan Reaves,Alex Killorn,[ 46. -41.],3,14:06,VGK,TBL,TBL,14,VGK,54,2,2,8471817,8473986.0,Ryan Reaves hit Alex Killorn
204,hit,Anthony Cirelli,Max Pacioretty,[ 42. -36.],3,11:51,TBL,VGK,TBL,14,VGK,54,2,2,8478519,8474157.0,Anthony Cirelli hit Max Pacioretty
205,hit,William Carrier,Kevin Shattenkirk,[-48. -39.],3,11:23,VGK,TBL,TBL,14,VGK,54,2,2,8477478,8474031.0,William Carrier hit Kevin Shattenkirk
208,hit,Cedric Paquette,Nicolas Roy,[-59. -41.],3,10:47,TBL,VGK,TBL,14,VGK,54,2,2,8476975,8478462.0,Cedric Paquette hit Nicolas Roy
209,hit,Nick Holden,Pat Maroon,[ 46. -36.],3,10:36,VGK,TBL,TBL,14,VGK,54,2,2,8474207,8474034.0,Nick Holden hit Pat Maroon
216,hit,Max Pacioretty,Ryan McDonagh,[-78. -34.],3,09:07,VGK,TBL,TBL,14,VGK,54,3,2,8474157,8474151.0,Max Pacioretty hit Ryan McDonagh
217,hit,Mitchell Stephens,Cody Eakin,[ 49. -37.],3,08:27,TBL,VGK,TBL,14,VGK,54,3,2,8478477,8475236.0,Mitchell Stephens hit Cody Eakin
218,hit,Yanni Gourde,Jon Merrill,[83. 31.],3,08:18,TBL,VGK,TBL,14,VGK,54,3,2,8476826,8475750.0,Yanni Gourde hit Jon Merrill
221,hit,Zach Whitecloud,Nikita Kucherov,[ 93. -21.],3,06:47,VGK,TBL,TBL,14,VGK,54,3,2,8480727,8476453.0,Zach Whitecloud hit Nikita Kucherov
226,hit,Max Pacioretty,Kevin Shattenkirk,[-92. -24.],3,05:28,VGK,TBL,TBL,14,VGK,54,3,2,8474157,8474031.0,Max Pacioretty hit Kevin Shattenkirk
228,hit,Chandler Stephenson,Yanni Gourde,[-37. -37.],3,05:14,VGK,TBL,TBL,14,VGK,54,3,2,8476905,8476826.0,Chandler Stephenson hit Yanni Gourde
2,hit,Dominik Simon,Anthony Cirelli,[ 37. -37.],1,19:43,PIT,TBL,TBL,14,PIT,5,0,0,8478866,8478519.0,Dominik Simon hit Anthony Cirelli
9,hit,Kevin Shattenkirk,Zach Aston-Reese,[ 38. -38.],1,18:36,TBL,PIT,TBL,14,PIT,5,0,0,8474031,8479944.0,Kevin Shattenkirk hit Zach Aston-Reese
19,hit,Carter Verhaeghe,Alex Galchenyuk,[ 42. -21.],1,15:40,TBL,PIT,TBL,14,PIT,5,0,0,8477409,8476851.0,Carter Verhaeghe hit Alex Galchenyuk
35,hit,Brayden Point,Marcus Pettersson,[78. 37.],1,13:41,TBL,PIT,TBL,14,PIT,5,0,0,8478010,8477969.0,Brayden Point hit Marcus Pettersson
38,hit,Jack Johnson,Cedric Paquette,[-16. -39.],1,12:37,PIT,TBL,TBL,14,PIT,5,0,0,8471677,8476975.0,Jack Johnson hit Cedric Paquette
40,hit,Marcus Pettersson,Yanni Gourde,[ 90. -30.],1,11:42,PIT,TBL,TBL,14,PIT,5,0,0,8477969,8476826.0,Marcus Pettersson hit Yanni Gourde
47,hit,Jack Johnson,Brayden Point,[96. 11.],1,10:43,PIT,TBL,TBL,14,PIT,5,1,0,8471677,8478010.0,Jack Johnson hit Brayden Point
59,hit,Teddy Blueger,Ondrej Palat,[54. 40.],1,08:29,PIT,TBL,TBL,14,PIT,5,1,0,8476927,8476292.0,Teddy Blueger hit Ondrej Palat
67,hit,Bryan Rust,Yanni Gourde,[ 16. -38.],1,06:46,PIT,TBL,TBL,14,PIT,5,2,0,8475810,8476826.0,Bryan Rust hit Yanni Gourde
69,hit,Braydon Coburn,Zach Aston-Reese,[19. 21.],1,06:06,TBL,PIT,TBL,14,PIT,5,2,0,8470601,8479944.0,Braydon Coburn hit Zach Aston-Reese
74,hit,Pat Maroon,Justin Schultz,[94. 10.],1,04:29,TBL,PIT,TBL,14,PIT,5,2,0,8474034,8474602.0,Pat Maroon hit Justin Schultz
76,hit,Cedric Paquette,Anthony Angello,[41. 39.],1,04:17,TBL,PIT,TBL,14,PIT,5,2,0,8476975,8478074.0,Cedric Paquette hit Anthony Angello
78,hit,Sam Lafferty,Mitchell Stephens,[ 89. -28.],1,04:04,PIT,TBL,TBL,14,PIT,5,2,0,8478043,8478477.0,Sam Lafferty hit Mitchell Stephens
80,hit,Yanni Gourde,Marcus Pettersson,[95.  8.],1,03:43,TBL,PIT,TBL,14,PIT,5,2,0,8476826,8477969.0,Yanni Gourde hit Marcus Pettersson
82,hit,Mikhail Sergachev,Brandon Tanev,[ 67. -24.],1,03:29,TBL,PIT,TBL,14,PIT,5,2,0,8479410,8479293.0,Mikhail Sergachev hit Brandon Tanev
83,hit,Anthony Cirelli,Marcus Pettersson,[ 48. -36.],1,03:08,TBL,PIT,TBL,14,PIT,5,2,0,8478519,8477969.0,Anthony Cirelli hit Marcus Pettersson
92,hit,Bryan Rust,Braydon Coburn,[-53. -39.],1,01:37,PIT,TBL,TBL,14,PIT,5,2,0,8475810,8470601.0,Bryan Rust hit Braydon Coburn
93,hit,Ondrej Palat,Justin Schultz,[91. 33.],1,01:28,TBL,PIT,TBL,14,PIT,5,2,0,8476292,8474602.0,Ondrej Palat hit Justin Schultz
114,hit,Zach Aston-Reese,Steven Stamkos,[ 64. -39.],2,17:55,PIT,TBL,TBL,14,PIT,5,2,0,8479944,8474564.0,Zach Aston-Reese hit Steven Stamkos
120,hit,Mikhail Sergachev,Kris Letang,[ 97. -22.],2,16:36,TBL,PIT,TBL,14,PIT,5,2,0,8479410,8471724.0,Mikhail Sergachev hit Kris Letang
124,hit,Patric Hornqvist,Mikhail Sergachev,[ 60. -37.],2,15:52,PIT,TBL,TBL,14,PIT,5,2,0,8471887,8479410.0,Patric Hornqvist hit Mikhail Sergachev
125,hit,Brandon Tanev,Kevin Shattenkirk,[-22.  38.],2,15:12,PIT,TBL,TBL,14,PIT,5,2,0,8479293,8474031.0,Brandon Tanev hit Kevin Shattenkirk
128,hit,Braydon Coburn,Zach Aston-Reese,[ -9. -40.],2,14:50,TBL,PIT,TBL,14,PIT,5,2,0,8470601,8479944.0,Braydon Coburn hit Zach Aston-Reese
129,hit,Steven Stamkos,John Marino,[-51.  36.],2,14:06,TBL,PIT,TBL,14,PIT,5,2,0,8474564,8478507.0,Steven Stamkos hit John Marino
130,hit,Erik Cernak,Sam Lafferty,[ 21. -40.],2,13:50,TBL,PIT,TBL,14,PIT,5,2,0,8478416,8478043.0,Erik Cernak hit Sam Lafferty
131,hit,Anthony Cirelli,Anthony Angello,[-37. -37.],2,13:44,TBL,PIT,TBL,14,PIT,5,2,0,8478519,8478074.0,Anthony Cirelli hit Anthony Angello
133,hit,Patric Hornqvist,Victor Hedman,[ 92. -19.],2,13:09,PIT,TBL,TBL,14,PIT,5,2,0,8471887,8475167.0,Patric Hornqvist hit Victor Hedman
134,hit,Anthony Cirelli,Bryan Rust,[-83.  34.],2,12:59,TBL,PIT,TBL,14,PIT,5,2,0,8478519,8475810.0,Anthony Cirelli hit Bryan Rust
135,hit,Mikhail Sergachev,Jared McCann,[ 96. -18.],2,12:24,TBL,PIT,TBL,14,PIT,5,2,0,8479410,8477955.0,Mikhail Sergachev hit Jared McCann
138,hit,Patric Hornqvist,Steven Stamkos,[ 90. -23.],2,11:37,PIT,TBL,TBL,14,PIT,5,2,0,8471887,8474564.0,Patric Hornqvist hit Steven Stamkos
142,hit,Kevin Shattenkirk,Zach Aston-Reese,[95. 15.],2,11:09,TBL,PIT,TBL,14,PIT,5,2,0,8474031,8479944.0,Kevin Shattenkirk hit Zach Aston-Reese
143,hit,Brandon Tanev,Kevin Shattenkirk,[62. 39.],2,11:03,PIT,TBL,TBL,14,PIT,5,2,0,8479293,8474031.0,Brandon Tanev hit Kevin Shattenkirk
146,hit,Erik Cernak,Kris Letang,[ 34. -37.],2,10:39,TBL,PIT,TBL,14,PIT,5,2,0,8478416,8471724.0,Erik Cernak hit Kris Letang
152,hit,Anthony Angello,Carter Verhaeghe,[ -6. -38.],2,09:33,PIT,TBL,TBL,14,PIT,5,3,1,8478074,8477409.0,Anthony Angello hit Carter Verhaeghe
153,hit,Yanni Gourde,Marcus Pettersson,[-78.  37.],2,09:22,TBL,PIT,TBL,14,PIT,5,3,1,8476826,8477969.0,Yanni Gourde hit Marcus Pettersson
167,hit,Marcus Pettersson,Kevin Shattenkirk,[-38.  39.],2,06:06,PIT,TBL,TBL,14,PIT,5,3,1,8477969,8474031.0,Marcus Pettersson hit Kevin Shattenkirk
176,hit,Jared McCann,Kevin Shattenkirk,[95.  7.],2,03:44,PIT,TBL,TBL,14,PIT,5,3,1,8477955,8474031.0,Jared McCann hit Kevin Shattenkirk
179,hit,Zach Aston-Reese,Kevin Shattenkirk,[64. 39.],2,03:00,PIT,TBL,TBL,14,PIT,5,3,1,8479944,8474031.0,Zach Aston-Reese hit Kevin Shattenkirk
182,hit,Jack Johnson,Pat Maroon,[-93.  20.],2,02:48,PIT,TBL,TBL,14,PIT,5,3,1,8471677,8474034.0,Jack Johnson hit Pat Maroon
183,hit,Cedric Paquette,Jack Johnson,[-37.  35.],2,02:35,TBL,PIT,TBL,14,PIT,5,3,1,8476975,8471677.0,Cedric Paquette hit Jack Johnson
185,hit,Ondrej Palat,Bryan Rust,[-94.  21.],2,01:49,TBL,PIT,TBL,14,PIT,5,3,1,8476292,8475810.0,Ondrej Palat hit Bryan Rust
187,hit,Ondrej Palat,Justin Schultz,[-87.  19.],2,01:32,TBL,PIT,TBL,14,PIT,5,3,1,8476292,8474602.0,Ondrej Palat hit Justin Schultz
190,hit,Mikhail Sergachev,Patric Hornqvist,[-34.  38.],2,00:27,TBL,PIT,TBL,14,PIT,5,3,1,8479410,8471887.0,Mikhail Sergachev hit Patric Hornqvist
196,hit,Kris Letang,Ondrej Palat,[ 93. -29.],3,19:31,PIT,TBL,TBL,14,PIT,5,3,1,8471724,8476292.0,Kris Letang hit Ondrej Palat
201,hit,Teddy Blueger,Erik Cernak,[  4. -40.],3,18:53,PIT,TBL,TBL,14,PIT,5,3,1,8476927,8478416.0,Teddy Blueger hit Erik Cernak
202,hit,Erik Cernak,Zach Aston-Reese,[-46. -34.],3,18:34,TBL,PIT,TBL,14,PIT,5,3,1,8478416,8479944.0,Erik Cernak hit Zach Aston-Reese
204,hit,Cedric Paquette,Bryan Rust,[-50.  38.],3,18:20,TBL,PIT,TBL,14,PIT,5,3,1,8476975,8475810.0,Cedric Paquette hit Bryan Rust
211,hit,Justin Schultz,Ondrej Palat,[ 40. -36.],3,17:45,PIT,TBL,TBL,14,PIT,5,3,1,8474602,8476292.0,Justin Schultz hit Ondrej Palat
221,hit,Jared McCann,Nikita Kucherov,[-37. -39.],3,15:41,PIT,TBL,TBL,14,PIT,5,3,2,8477955,8476453.0,Jared McCann hit Nikita Kucherov
239,hit,Brandon Tanev,Nikita Kucherov,[87. 28.],3,09:58,PIT,TBL,TBL,14,PIT,5,3,2,8479293,8476453.0,Brandon Tanev hit Nikita Kucherov
240,hit,Nikita Kucherov,Jack Johnson,[58. 38.],3,09:44,TBL,PIT,TBL,14,PIT,5,3,2,8476453,8471677.0,Nikita Kucherov hit Jack Johnson
253,hit,Braydon Coburn,Brandon Tanev,[-92. -23.],3,06:13,TBL,PIT,TBL,14,PIT,5,3,2,8470601,8479293.0,Braydon Coburn hit Brandon Tanev
254,hit,Brandon Tanev,Mikhail Sergachev,[-87.  33.],3,06:01,PIT,TBL,TBL,14,PIT,5,3,2,8479293,8479410.0,Brandon Tanev hit Mikhail Sergachev
7,hit,Scott Mayfield,Alex Killorn,[ 73. -41.],1,18:57,NYI,TBL,TBL,14,NYI,2,0,0,8476429,8473986.0,Scott Mayfield hit Alex Killorn
8,hit,Cedric Paquette,Johnny Boychuk,[75. 38.],1,18:29,TBL,NYI,TBL,14,NYI,2,0,0,8476975,8470187.0,Cedric Paquette hit Johnny Boychuk
