"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS/60","NZS/60","DZS/60","OTF/60","OZF/60","NZF/60","DZF/60","Ice_F/60","Ice_A/60"
"Alec Martinez","ALEC.MARTINEZ","19-20","L.A","D","L",1987-07-26,32,41,60.98,1.49,30.71,37.39,2.95,0,38.37,58.05,6.89,2.95,0.98,0
"Aleksander Barkov","ALEKSANDER.BARKOV","13-14","FLA","C","L",1995-09-02,18,54,138.1,2.56,46.24,33.45,4.78,0,25.63,49.96,9.56,2.61,0.87,0
"Aleksander Barkov","ALEKSANDER.BARKOV","14-15","FLA","C","L",1995-09-02,19,71,150.53,2.12,43.97,37.07,6.38,2.39,24.71,54.21,10.36,5.18,1.59,0
"Aleksander Barkov","ALEKSANDER.BARKOV","15-16","FLA","C","L",1995-09-02,20,64,181.17,2.83,49.62,26.49,6.95,1.66,20.86,45.7,11.92,3.97,0.33,0
"Aleksander Barkov","ALEKSANDER.BARKOV","16-17","FLA","C","L",1995-09-02,21,59,165.12,2.8,50.42,38.15,5.81,1.09,20.35,58.87,10.17,2.91,0.73,0
"Aleksander Barkov","ALEKSANDER.BARKOV","17-18","FLA","C","L",1995-09-02,22,77,256,3.32,65.8,31.88,8.44,0.47,6.09,57.66,13.59,2.11,0.7,0
"Aleksander Barkov","ALEKSANDER.BARKOV","18-19","FLA","C","L",1995-09-02,23,82,275.4,3.36,65.43,31.15,6.1,0.65,5.88,57.73,10.02,1.74,0.44,0
"Aleksander Barkov","ALEKSANDER.BARKOV","19-20","FLA","C","L",1995-09-02,24,66,218.2,3.31,66.15,27.77,6.87,0.82,3.57,62.14,9.9,2.47,0.82,0
"Ales Hemsky","ALES.HEMSKY","07-08","EDM","R","R",1983-08-13,24,74,269.05,3.64,56.08,24.98,12.93,1.12,10.04,43.71,22.08,4.46,0.89,0
"Ales Hemsky","ALES.HEMSKY","08-09","EDM","R","R",1983-08-13,25,72,273.27,3.8,58.14,29.86,6.59,0.66,10.76,56.43,12.3,1.98,0.44,0.44
"Ales Hemsky","ALES.HEMSKY","09-10","EDM","R","R",1983-08-13,26,21,76.32,3.63,53.26,29.09,7.08,0.79,14.15,47.96,8.65,3.93,1.57,0
"Ales Hemsky","ALES.HEMSKY","10-11","EDM","R","R",1983-08-13,27,47,133.6,2.84,49.03,31.89,4.94,0.9,23.8,52.1,8.98,3.14,0.45,0
"Ales Hemsky","ALES.HEMSKY","11-12","EDM","R","R",1983-08-13,28,67,142.72,2.13,43.98,24.8,8.41,1.26,31.95,38.26,15.55,4.2,0.42,0
"Ales Hemsky","ALES.HEMSKY","12-13","EDM","R","R",1983-08-13,29,35,90.23,2.58,44.39,30.59,5.32,2.66,29.92,43.22,13.3,5.32,1.99,0
"Ales Hemsky","ALES.HEMSKY","13-14","EDM","R","R",1983-08-13,30,53,125.38,2.37,43.31,26.8,6.7,0.48,37.33,38.76,10.53,2.39,0.48,0
"Ales Hemsky","ALES.HEMSKY","14-15","DAL","R","R",1983-08-13,31,75,148.3,1.98,34.4,20.23,9.31,3.64,41.27,30.34,14.97,6.47,1.21,0
"Ales Hemsky","ALES.HEMSKY","15-16","DAL","R","R",1983-08-13,32,74,119.33,1.61,31.51,23.13,7.04,1.01,50.28,35.7,16.59,1.51,0.5,0
"Ales Kotalik","ALES.KOTALIK","07-08","BUF","R","R",1978-12-23,28,78,223.47,2.86,42.49,27.65,11.01,2.68,20.14,42.15,18.26,4.3,0.27,0
"Ales Kotalik","ALES.KOTALIK","08-09","BUF","R","R",1978-12-23,29,55,149.5,2.72,39.42,26.09,4.01,0.8,38.53,39.73,10.03,3.21,0.4,0
"Ales Kotalik","ALES.KOTALIK","09-10","CGY","R","R",1978-12-23,30,26,53.77,2.07,38.59,29.01,6.7,0,26.78,46.87,14.51,1.12,1.12,0
"Ales Kotalik","ALES.KOTALIK","09-10","NYR","R","R",1978-12-23,30,45,158.18,3.52,59.54,34.52,6.83,0.38,6.07,58.79,11,1.9,0.76,0
"Alex Burmistrov","ALEX.BURMISTROV","11-12","WPG","C","L",1991-10-21,19,74,92.72,1.25,26.03,26.53,4.53,1.29,32.36,45.94,9.06,2.59,0.65,0
"Alex Burmistrov","ALEX.BURMISTROV","15-16","WPG","C","L",1991-10-21,23,79,75.97,0.96,18.35,14.22,9.48,3.95,57.65,22.11,15.01,7.9,1.58,0
"Alex Burmistrov","ALEX.BURMISTROV","16-17","ARI","C","L",1991-10-21,24,24,52.83,2.2,45.81,30.66,4.54,1.14,21.58,44.29,9.09,3.41,1.14,0
"Alex Burrows","ALEX.BURROWS","09-10","VAN","L","L",1981-04-11,28,82,113.85,1.39,23.63,41.63,10.54,1.05,34.78,55.86,13.7,3.16,0.53,0
"Alex Burrows","ALEX.BURROWS","10-11","VAN","L","L",1981-04-11,29,70,71.83,1.03,18.35,16.71,5.85,3.34,73.51,23.39,7.52,5.01,0.84,0
"Alex Burrows","ALEX.BURROWS","11-12","VAN","L","L",1981-04-11,30,77,155.32,2.02,37.66,30.52,11.2,1.16,29.75,52.54,14.68,1.55,0,0
"Alex Burrows","ALEX.BURROWS","12-13","VAN","L","L",1981-04-11,31,45,127.18,2.83,48.06,32.08,3.3,0,18.4,56.61,8.49,2.36,1.42,0
"Alex Burrows","ALEX.BURROWS","13-14","VAN","L","L",1981-04-11,32,47,109.73,2.33,42.08,36.64,5.47,1.64,24.06,54.68,12.58,3.83,0,0
"Alex Burrows","ALEX.BURROWS","14-15","VAN","L","L",1981-04-11,33,67,140.87,2.1,42.58,34.07,3.83,2.13,22.57,53.24,8.09,4.26,0.85,0
"Alex Burrows","ALEX.BURROWS","15-16","VAN","L","L",1981-04-11,34,76,145.35,1.91,37.53,42.11,5.37,1.65,14.45,62.75,8.26,4.13,0.83,0
"Alex Burrows","ALEX.BURROWS","17-18","OTT","L","L",1981-04-11,36,71,99.28,1.4,27.78,25.38,3.02,1.21,42.91,40.49,4.83,2.42,0,0
"Alex Chiasson","ALEX.CHIASSON","13-14","DAL","R","R",1990-10-01,22,78,252.48,3.24,54.39,36.6,5.47,0.48,12.83,57.98,9.98,1.66,0.48,0
"Alex Chiasson","ALEX.CHIASSON","14-15","OTT","R","R",1990-10-01,23,76,142.57,1.88,33.54,29.88,7.15,0.84,24.41,50.92,13.47,2.95,1.68,0
"Alex Chiasson","ALEX.CHIASSON","15-16","OTT","R","R",1990-10-01,24,75,83.45,1.11,22.6,24.45,7.19,0.72,43.14,36.67,12.94,2.16,0.72,0
"Alex Chiasson","ALEX.CHIASSON","16-17","CGY","R","R",1990-10-01,25,79,51.82,0.66,12.64,46.31,9.26,2.32,22,70.63,10.42,2.32,0,0
"Alex Chiasson","ALEX.CHIASSON","18-19","EDM","R","R",1990-10-01,27,73,183.87,2.52,58.32,29.69,6.2,0.65,6.2,54.17,10.77,1.31,0.33,0
"Alex Chiasson","ALEX.CHIASSON","19-20","EDM","R","R",1990-10-01,28,64,138.83,2.17,52.26,31.55,6.05,0.43,13.83,53.16,10.37,2.16,1.3,0
"Alex Debrincat","ALEX.DEBRINCAT","17-18","CHI","R","R",1997-12-18,19,81,164.23,2.03,36.65,27.04,3.65,1.83,34.71,39.46,8.04,3.29,0,0
"Alex Debrincat","ALEX.DEBRINCAT","18-19","CHI","R","R",1997-12-18,20,80,251.48,3.14,66.46,31.73,4.06,0.72,8.59,52.97,7.63,3.58,1.91,0
"Alex Debrincat","ALEX.DEBRINCAT","19-20","CHI","R","R",1997-12-18,21,69,226.58,3.28,65.52,31.51,4.77,0.26,5.3,58.79,9,1.06,0,0
"Alex Edler","ALEX.EDLER","07-08","VAN","D","L",1986-04-21,21,75,238.47,3.18,47.56,20.88,11.83,2.52,27.68,34.97,19.37,6.54,1.51,0
"Alex Edler","ALEX.EDLER","08-09","VAN","D","L",1986-04-21,22,79,258.3,3.27,48.33,32.29,5.81,1.39,22.07,53.19,9.06,3.02,0.7,0
"Alex Edler","ALEX.EDLER","09-10","VAN","D","L",1986-04-21,23,76,217.07,2.86,48.67,30.96,6.63,1.11,21.84,51.69,10.23,3.04,0.83,0
"Alex Edler","ALEX.EDLER","10-11","VAN","D","L",1986-04-21,24,49,185.68,3.79,61.91,35.22,5.49,0.65,7.43,63.98,9.37,1.94,0.65,0
"Alex Edler","ALEX.EDLER","11-12","VAN","D","L",1986-04-21,25,79,270.15,3.42,62.98,35.54,6.66,0.44,11.55,60.41,9.11,1.11,0,0
"Alex Edler","ALEX.EDLER","12-13","VAN","D","L",1986-04-21,26,43,155.82,3.62,61.27,33.5,3.47,1.93,8.47,56.99,6.93,3.47,0.77,0
"Alex Edler","ALEX.EDLER","13-14","VAN","D","L",1986-04-21,27,61,175.62,2.88,53.48,32.8,5.81,1.02,15.37,54.66,11.96,3.76,1.02,0
"Alex Edler","ALEX.EDLER","14-15","VAN","D","L",1986-04-21,28,71,210.02,2.96,58.96,31.71,6,2,11.43,55.42,8,3.43,0.57,0
"Alex Edler","ALEX.EDLER","15-16","VAN","D","L",1986-04-21,29,49,153.48,3.13,62.82,35.18,7.43,0.39,8.21,59.03,11.34,3.13,0.78,0
"Alex Edler","ALEX.EDLER","16-17","VAN","D","L",1986-04-21,30,67,136.32,2.03,43.05,20.25,6.16,2.2,32.13,44.89,11.44,3.52,0.44,0
"Alex Edler","ALEX.EDLER","17-18","VAN","D","L",1986-04-21,31,69,186.78,2.71,61.72,28.59,6.1,0.32,12.53,54.29,10.6,2.25,1.61,0
"Alex Edler","ALEX.EDLER","18-19","VAN","D","L",1986-04-21,32,54,171.38,3.17,65.5,25.56,7,0,9.1,52.16,9.45,0,0,0
"Alex Edler","ALEX.EDLER","19-20","VAN","D","L",1986-04-21,33,58,66.77,1.15,20.95,23.36,10.78,3.59,40.44,43.13,17.97,4.49,0.9,0
"Alex Frolov","ALEX.FROLOV","07-08","L.A","L","R",1982-06-19,25,71,230.42,3.25,44.97,24.22,7.81,1.82,29.42,35.67,17.71,5.21,0.78,0
"Alex Frolov","ALEX.FROLOV","08-09","L.A","L","R",1982-06-19,26,76,238.52,3.14,47.2,34.46,8.3,0.75,25.66,49.81,13.84,2.77,1.26,0
"Alex Frolov","ALEX.FROLOV","09-10","L.A","L","R",1982-06-19,27,80,178.72,2.23,39.74,20.48,7.72,1.34,40.62,33.57,11.41,2.35,0.67,0
"Alex Frolov","ALEX.FROLOV","10-11","NYR","L","R",1982-06-19,28,42,95.42,2.27,36.18,29.55,9.43,1.26,25.78,39.61,15.72,3.14,1.26,0
"Alex Galchenyuk","ALEX.GALCHENYUK","13-14","MTL","C","L",1994-02-12,19,64,130.3,2.04,34.11,26.25,6.45,0.46,33.61,46.05,11.51,2.76,0,0.46
"Alex Galchenyuk","ALEX.GALCHENYUK","14-15","MTL","C","L",1994-02-12,20,78,173.85,2.23,45.33,30.72,6.9,1.04,29.34,44.87,9.32,2.42,0.35,0
"Alex Galchenyuk","ALEX.GALCHENYUK","15-16","MTL","C","L",1994-02-12,21,79,201.03,2.54,47.29,36.41,7.76,0.6,19.4,52.53,10.74,2.69,0.6,0
"Alex Galchenyuk","ALEX.GALCHENYUK","16-17","MTL","C","L",1994-02-12,22,61,130.58,2.14,50.09,33.54,4.59,0,17.46,48.71,9.65,0.92,0.46,0
"Alex Galchenyuk","ALEX.GALCHENYUK","17-18","MTL","C","L",1994-02-12,23,80,224.17,2.8,57.57,33.72,5.09,0.27,14.19,57.28,9.9,0.8,0.54,0
"Alex Galchenyuk","ALEX.GALCHENYUK","18-19","ARI","C","L",1994-02-12,24,72,206.13,2.86,56.61,32.02,6.99,0.87,15.14,50.65,12.81,2.04,0.87,0
"Alex Galchenyuk","ALEX.GALCHENYUK","19-20","PIT","C","L",1994-02-12,25,45,67.15,1.49,32.43,26.81,5.36,0.89,45.57,37.53,7.15,1.79,0,0
"Alex Goligoski","ALEX.GOLIGOSKI","08-09","PIT","D","L",1985-07-30,23,45,176.03,3.91,59.71,26.93,8.52,0.68,8.52,50.79,13.97,3.07,0,0.34
"Alex Goligoski","ALEX.GOLIGOSKI","09-10","PIT","D","L",1985-07-30,24,68,252.93,3.72,59.9,30.13,4.51,0.95,9.01,52.66,9.96,2.61,0.47,0
"Alex Goligoski","ALEX.GOLIGOSKI","10-11","DAL","D","L",1985-07-30,25,22,95.68,4.35,68.89,30.73,3.14,0.63,4.39,57.07,8.78,3.14,1.25,0
"Alex Goligoski","ALEX.GOLIGOSKI","10-11","PIT","D","L",1985-07-30,25,60,215.5,3.59,56.65,26.45,5.57,0.56,14.48,48.17,12.25,2.78,0.56,0
"Alex Goligoski","ALEX.GOLIGOSKI","11-12","DAL","D","L",1985-07-30,26,67,210.15,3.14,61.32,26.55,5.71,0.86,12.56,45.97,12.28,2.86,0.86,0
"Alex Goligoski","ALEX.GOLIGOSKI","12-13","DAL","D","L",1985-07-30,27,46,132.97,2.89,49.5,21.21,7.67,0.45,28.88,36.1,12.63,5.87,1.35,0
"Alex Goligoski","ALEX.GOLIGOSKI","13-14","DAL","D","L",1985-07-30,28,80,257.4,3.22,54.37,28.44,7.23,1.4,12.82,59.91,10.96,3.26,0.7,0
"Alex Goligoski","ALEX.GOLIGOSKI","14-15","DAL","D","L",1985-07-30,29,80,164.73,2.06,35.7,29.14,6.19,2.55,33.87,48.08,10.93,5.1,2.19,0
"Alex Goligoski","ALEX.GOLIGOSKI","15-16","DAL","D","L",1985-07-30,30,81,156.87,1.94,38.56,19.89,10.33,0.76,38.25,37.48,18.36,1.53,0.76,0
"Alex Goligoski","ALEX.GOLIGOSKI","16-17","ARI","D","L",1985-07-30,31,79,171.33,2.17,45.58,24.51,5.95,1.75,27.67,45.53,10.86,4.2,1.05,0
"Alex Goligoski","ALEX.GOLIGOSKI","17-18","ARI","D","L",1985-07-30,32,77,147.77,1.92,41.32,21.11,4.87,1.62,41.82,37.76,8.93,6.5,1.22,0
"Alex Goligoski","ALEX.GOLIGOSKI","18-19","ARI","D","L",1985-07-30,33,75,139.28,1.86,37.01,19.82,7.32,1.29,46.52,36.19,13.35,3.88,0.43,0
"Alex Goligoski","ALEX.GOLIGOSKI","19-20","ARI","D","L",1985-07-30,34,68,132.78,1.95,37.76,20.33,8.59,0.9,47.45,33.44,14.01,3.62,1.36,0
"Alex Iafallo","ALEX.IAFALLO","18-19","L.A","C","L",1993-12-21,24,78,130.18,1.67,36.46,28.58,7.37,1.84,31.34,48.39,11.98,3.69,1.38,0
"Alex Iafallo","ALEX.IAFALLO","19-20","L.A","L","L",1993-12-21,25,68,170.58,2.51,55.59,41.86,4.92,0,10.55,60.5,5.98,0.7,0,0
"Alex Kerfoot","ALEX.KERFOOT","17-18","COL","C","L",1994-08-11,23,78,189.77,2.43,41.48,30.04,6.64,2.53,28.14,41.42,11.38,3.79,0,0
"Alex Kerfoot","ALEX.KERFOOT","18-19","COL","C","L",1994-08-11,24,78,153.48,1.97,35.82,24.63,6.25,2.35,40.27,38.7,11.73,4.69,1.95,0
"Alex Kerfoot","ALEX.KERFOOT","19-20","TOR","C","L",1994-08-11,25,62,82.55,1.33,29.27,13.08,5.81,2.18,57.42,31.25,8.72,2.91,1.45,0
"Alex Killorn","ALEX.KILLORN","12-13","T.B","C","L",1989-09-14,23,38,70.5,1.86,37.05,23.83,5.11,3.4,35.74,33.19,11.06,6.81,0.85,0
"Alex Killorn","ALEX.KILLORN","13-14","T.B","C","L",1989-09-14,24,82,154.63,1.89,36.19,20.95,4.27,1.94,44.62,31.82,7.37,3.49,0.78,0
"Alex Killorn","ALEX.KILLORN","14-15","T.B","C","L",1989-09-14,25,70,143.63,2.05,36.72,27.57,9.19,1.67,20.05,43.03,12.95,2.51,0,0
"Alex Killorn","ALEX.KILLORN","15-16","T.B","C","L",1989-09-14,26,80,183.5,2.29,40.92,27.79,6.54,1.31,28.45,46.43,10.14,2.62,0.65,0
"Alex Killorn","ALEX.KILLORN","16-17","T.B","C","L",1989-09-14,27,81,185.02,2.28,44.67,29.83,8.11,1.3,24.97,45.72,11.35,2.59,0.97,0
"Alex Killorn","ALEX.KILLORN","17-18","T.B","C","L",1989-09-14,28,79,226.05,2.86,54.44,31.59,5.84,1.33,15.39,56.27,10.09,2.65,0.53,0
"Alex Killorn","ALEX.KILLORN","18-19","T.B","C","L",1989-09-14,29,81,111,1.37,28.74,29.73,5.95,1.62,42.7,40,9.73,3.78,0.54,0
"Alex Killorn","ALEX.KILLORN","19-20","T.B","C","L",1989-09-14,30,66,172.28,2.61,53.52,34.83,4.53,0,18.46,55.37,5.92,1.04,0.7,0
"Alex Kovalev","ALEX.KOVALEV","07-08","MTL","R","L",1973-02-24,34,82,310.1,3.78,55.82,20.7,10.84,1.16,17.8,38.12,18.77,2.71,0.19,0.19
"Alex Kovalev","ALEX.KOVALEV","08-09","MTL","R","L",1973-02-24,35,77,294.07,3.82,55.93,30.6,4.69,0.82,17.55,48.36,12.24,2.86,0.61,0
"Alex Kovalev","ALEX.KOVALEV","09-10","OTT","R","L",1973-02-24,36,75,229.27,3.06,53.7,24.34,4.71,1.05,15.7,46.06,9.16,2.36,0,0
"Alex Kovalev","ALEX.KOVALEV","10-11","OTT","R","L",1973-02-24,37,54,120.22,2.23,41.77,20.96,7.49,1,33.44,34.44,14.47,4.49,1.5,0
"Alex Kovalev","ALEX.KOVALEV","10-11","PIT","R","L",1973-02-24,37,20,70.9,3.55,63.9,31.31,4.23,1.69,5.08,49.08,5.92,3.39,0.85,0
"Alex Nylander","ALEX.NYLANDER","19-20","CHI","L","R",1998-03-02,21,64,73.52,1.15,22.98,23.67,6.53,0,47.33,40.81,9.79,3.26,0.82,0
"Alex Ovechkin","ALEX.OVECHKIN","07-08","WSH","L","R",1985-09-17,21,82,427.48,5.21,83.29,14.6,8.14,0.56,5.33,40,18.53,2.53,0.28,0
"Alex Ovechkin","ALEX.OVECHKIN","08-09","WSH","L","R",1985-09-17,22,79,403.58,5.11,88.25,21.26,3.12,0.59,2.97,50.7,11,2.68,0.3,0.15
"Alex Ovechkin","ALEX.OVECHKIN","09-10","WSH","L","R",1985-09-17,23,71,337.55,4.75,85.6,21.51,3.38,0.36,3.2,51.73,11.2,2.67,0.71,0
"Alex Ovechkin","ALEX.OVECHKIN","10-11","WSH","L","R",1985-09-17,24,76,323.23,4.25,82.86,20.23,4.64,0.19,2.6,51.79,10.21,1.49,0.37,0
"Alex Ovechkin","ALEX.OVECHKIN","11-12","WSH","L","R",1985-09-17,25,74,267.55,3.62,73.35,26.69,3.36,0.45,4.04,53.82,11.44,2.02,0.67,0
"Alex Ovechkin","ALEX.OVECHKIN","12-13","WSH","L","R",1985-09-17,26,48,206.62,4.3,84.31,21.49,3.19,0,2.61,50.82,9,1.16,0.29,0
"Alex Ovechkin","ALEX.OVECHKIN","13-14","WSH","L","R",1985-09-17,27,77,374.9,4.87,93.1,19.69,4.32,0.16,2.72,55.85,11.68,4.48,1.12,0
"Alex Ovechkin","ALEX.OVECHKIN","14-15","WSH","L","R",1985-09-17,28,79,293.73,3.72,82.71,24.51,3.68,0,3.47,55.77,8.38,1.43,0.82,0.2
"Alex Ovechkin","ALEX.OVECHKIN","15-16","WSH","L","R",1985-09-17,29,77,325.37,4.23,89.55,25.26,3.32,0,1.84,52.56,10.33,4.24,2.21,0
"Alex Ovechkin","ALEX.OVECHKIN","16-17","WSH","L","R",1985-09-17,30,80,294.95,3.69,75.24,28.28,2.03,0.81,5.09,52.89,4.68,4.88,1.63,0
"Alex Ovechkin","ALEX.OVECHKIN","17-18","WSH","L","R",1985-09-17,31,79,331.93,4.2,87.1,22.05,3.8,0,2.17,50.07,9.4,2.35,1.99,0
"Alex Ovechkin","ALEX.OVECHKIN","18-19","WSH","L","R",1985-09-17,32,80,350.13,4.38,90.35,20.05,2.57,0,2.4,51.75,8.05,1.37,1.03,0
"Alex Ovechkin","ALEX.OVECHKIN","19-20","WSH","L","R",1985-09-17,33,67,311.12,4.64,90.27,18.32,2.31,0.19,2.51,50.53,5.98,3.66,2.51,0
