"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Ales Hemsky","ALES.HEMSKY","07-08","EDM","R","R",1983-08-13,24,74,269.05,82.29,81.4,83.21,84.43,84.33,33.59,7.23,177.4,40.53,252.84,51.02,347.89,64.15,20.5,3.81,26.36,136.87,201.82,283.74,16.69,18.93,82.16
"Ales Hemsky","ALES.HEMSKY","08-09","EDM","R","R",1983-08-13,25,72,273.27,87.57,86.34,88.19,90.24,85.68,28.04,3.98,216.85,34.31,302.02,40.45,404.56,43.75,23.28,3.89,24.06,182.54,261.57,360.81,19.39,12.93,88.4
"Ales Hemsky","ALES.HEMSKY","09-10","EDM","R","R",1983-08-13,26,21,76.32,90.03,86.8,89.09,90.32,92.22,9.75,1.08,60.5,9.2,82.17,10.06,114.05,12.23,7.35,0.62,8.67,51.3,72.11,101.82,6.73,16.12,88.26
"Ales Hemsky","ALES.HEMSKY","10-11","EDM","R","R",1983-08-13,27,47,133.6,89.91,80.46,82.28,84.16,81.45,8.82,0.99,78.89,19.16,112.8,24.3,152.3,28.66,10.54,2.4,7.83,59.73,88.5,123.64,8.14,11.18,94.83
"Ales Hemsky","ALES.HEMSKY","11-12","EDM","R","R",1983-08-13,28,67,142.72,74.08,78.11,81.37,82.27,77.43,11.92,4.17,94.64,26.53,130.13,29.8,173.17,37.32,11.01,3.21,7.75,68.11,100.33,135.85,7.8,12.6,84.28
"Ales Hemsky","ALES.HEMSKY","12-13","EDM","R","R",1983-08-13,29,35,90.23,100,84.35,82.7,84.61,87.93,15.51,0,73.44,13.63,93.81,19.62,119.96,21.82,9.25,1.27,15.51,59.81,74.19,98.14,7.98,21.12,100
"Ales Hemsky","ALES.HEMSKY","13-14","EDM","R","R",1983-08-13,30,53,125.38,82.47,83.14,81.5,83.87,85.92,8.47,1.8,81.69,16.57,102.84,23.34,146.47,28.17,9.46,1.55,6.67,65.12,79.5,118.3,7.91,10.37,89.14
"Ales Hemsky","ALES.HEMSKY","14-15","DAL","R","R",1983-08-13,31,75,148.3,84.67,80.62,81.74,84.89,81.54,11.1,2.01,81.27,19.53,122.01,27.25,181.13,32.25,9.85,2.23,9.09,61.74,94.76,148.88,7.62,13.66,89.71
"Ales Hemsky","ALES.HEMSKY","15-16","DAL","R","R",1983-08-13,32,74,119.33,55.56,84.04,85.92,88.29,84.86,6.1,4.88,79.37,15.07,116.52,19.09,167.35,22.19,10.31,1.84,1.22,64.3,97.43,145.16,8.47,7.69,67.62
"Ales Kotalik","ALES.KOTALIK","07-08","BUF","R","R",1978-12-23,28,78,223.47,88.25,82.55,84.7,86.16,85.26,22.45,2.99,184.65,39.02,256.61,46.35,327.33,52.56,18.45,3.19,19.46,145.63,210.26,274.77,15.26,12.16,92.34
"Ales Kotalik","ALES.KOTALIK","08-09","BUF","R","R",1978-12-23,29,55,149.5,100,87.66,88.56,89.77,91.36,15.12,0,109.5,15.42,157.91,20.4,214.75,24.46,11.95,1.13,15.12,94.08,137.51,190.29,10.82,13.81,100
"Ales Kotalik","ALES.KOTALIK","09-10","CGY","R","R",1978-12-23,30,26,53.77,100,97.01,88.62,90.67,89.41,3.09,0,34.08,1.05,42.52,5.46,71.83,7.39,3.04,0.36,3.09,33.03,37.06,64.44,2.68,9.07,100
"Ales Kotalik","ALES.KOTALIK","09-10","NYR","R","R",1978-12-23,30,45,158.18,84.35,88.97,91.02,91.06,91.19,18,3.34,142.19,17.63,210.72,20.79,257.44,25.27,21.93,2.12,14.66,124.56,189.93,232.17,19.81,12.66,81.06
"Alex Burmistrov","ALEX.BURMISTROV","11-12","WPG","C","L",1991-10-21,19,74,92.72,84.67,83.55,84.3,86.31,90.81,9.94,1.8,64.75,12.75,100.51,18.72,131.44,20.84,8.5,0.86,8.14,52,81.79,110.6,7.64,15.35,85.88
"Alex Burmistrov","ALEX.BURMISTROV","15-16","WPG","C","L",1991-10-21,23,79,75.97,100,87.39,83.68,85.76,88.62,3.66,0,46.49,6.71,68.68,13.39,86,14.28,5.06,0.65,3.66,39.78,55.29,71.72,4.41,7.87,100
"Alex Burmistrov","ALEX.BURMISTROV","16-17","ARI","C","L",1991-10-21,24,24,52.83,100,85.09,85.02,87.33,86.51,7.99,0,42.33,7.42,52.9,9.32,72.8,10.56,5.26,0.82,7.99,34.91,43.58,62.24,4.44,18.88,100
"Alex Burrows","ALEX.BURROWS","09-10","VAN","L","L",1981-04-11,28,82,113.85,85.19,84.5,85.85,87.22,81.39,11.56,2.01,86.24,15.82,125.44,20.67,180.31,26.43,9.27,2.12,9.55,70.42,104.77,153.88,7.15,13.4,87.29
"Alex Burrows","ALEX.BURROWS","10-11","VAN","L","L",1981-04-11,29,70,71.83,100,88.43,86.82,87.48,88.39,7.61,0,60.66,7.94,76.08,11.55,99.33,14.21,6.09,0.8,7.61,52.72,64.53,85.12,5.29,12.55,100
"Alex Burrows","ALEX.BURROWS","11-12","VAN","L","L",1981-04-11,30,77,155.32,100,88.54,90.23,91.75,96.28,16.06,0,147.02,19.02,203.37,22.01,287.79,25.87,18.11,0.7,16.06,128,181.36,261.92,17.41,10.92,100
"Alex Burrows","ALEX.BURROWS","12-13","VAN","L","L",1981-04-11,31,45,127.18,80.74,85.12,89.25,91.73,91.45,9.14,2.18,100.69,17.6,146.33,17.62,214.66,19.36,11.66,1.09,6.96,83.09,128.71,195.3,10.57,9.08,87.61
"Alex Burrows","ALEX.BURROWS","13-14","VAN","L","L",1981-04-11,32,47,109.73,100,87.28,88.05,88.8,91.32,10.15,0,99.41,14.49,136.84,18.58,178.55,22.52,12,1.14,10.15,84.92,118.26,156.03,10.86,10.21,100
"Alex Burrows","ALEX.BURROWS","14-15","VAN","L","L",1981-04-11,33,67,140.87,100,81.11,84.42,87.14,88.73,13.16,0,109.05,25.39,153.7,28.36,220.54,32.55,14.65,1.86,13.16,83.66,125.34,187.99,12.79,12.07,100
"Alex Burrows","ALEX.BURROWS","15-16","VAN","L","L",1981-04-11,34,76,145.35,80.56,82.01,85.13,87.18,87.11,8,1.93,113.89,24.99,170.24,29.73,230.8,33.93,14.73,2.18,6.07,88.9,140.51,196.87,12.55,7.02,92.28
"Alex Burrows","ALEX.BURROWS","17-18","OTT","L","L",1981-04-11,36,71,99.28,82.51,79.73,83.1,86.05,87.53,9.15,1.94,71.52,18.18,103.88,21.13,141.86,23,7.79,1.11,7.21,53.34,82.75,118.86,6.68,12.79,89.33
"Alex Chiasson","ALEX.CHIASSON","13-14","DAL","R","R",1990-10-01,22,78,252.48,92.94,85.8,86.4,88.77,88.56,26.31,2,256.71,42.47,366.19,57.65,487.6,61.68,37.25,4.81,24.31,214.24,308.54,425.92,32.44,10.25,95.29
"Alex Chiasson","ALEX.CHIASSON","14-15","OTT","R","R",1990-10-01,23,76,142.57,100,89.68,89.61,90.61,88.71,13.29,0,121.44,13.97,179.92,20.87,241.04,24.97,15.56,1.98,13.29,107.47,159.05,216.07,13.58,10.94,100
"Alex Chiasson","ALEX.CHIASSON","15-16","OTT","R","R",1990-10-01,24,75,83.45,100,92.67,90.33,91.19,92.66,9.13,0,64.85,5.13,91.36,9.78,121.87,11.78,6.69,0.53,9.13,59.72,81.58,110.09,6.16,14.08,100
"Alex Chiasson","ALEX.CHIASSON","16-17","CGY","R","R",1990-10-01,25,79,51.82,100,90.41,85.26,87.95,89.66,5.37,0,55.65,5.9,71.05,12.28,89.3,12.24,5.98,0.69,5.37,49.75,58.77,77.06,5.29,9.65,100
"Alex Chiasson","ALEX.CHIASSON","18-19","EDM","R","R",1990-10-01,27,73,183.87,93.64,85.18,84.94,87.13,88.21,30.2,2.05,170.11,29.59,224.09,39.74,302.3,44.65,25.13,3.36,28.15,140.52,184.35,257.65,21.77,17.75,93.07
"Alex Chiasson","ALEX.CHIASSON","19-20","EDM","R","R",1990-10-01,28,64,138.83,90.33,83.45,87.02,88.69,92.45,29.81,3.19,132.29,26.23,181.81,27.13,240.64,30.7,21.06,1.72,26.62,106.06,154.68,209.94,19.34,22.53,87.84
"Alex Debrincat","ALEX.DEBRINCAT","17-18","CHI","R","R",1997-12-18,19,81,164.23,83.73,75.51,78.81,83.82,79.88,14.36,2.79,121.05,39.26,176.06,47.33,262.02,50.59,14.09,3.55,11.57,81.79,128.73,211.43,10.54,11.86,92.89
"Alex Debrincat","ALEX.DEBRINCAT","18-19","CHI","R","R",1997-12-18,20,80,251.48,91.36,83.66,85.33,88.39,88.2,31.09,2.94,212.46,41.5,289.45,49.75,399.27,52.42,25.04,3.35,28.15,170.96,239.7,346.85,21.69,14.63,92.92
"Alex Debrincat","ALEX.DEBRINCAT","19-20","CHI","R","R",1997-12-18,21,69,226.58,79.68,83.17,85.44,88.08,88.14,23.49,5.99,205.91,41.67,279.98,47.7,382.05,51.71,26.67,3.59,17.5,164.24,232.28,330.34,23.08,11.41,85.63
"Alex Edler","ALEX.EDLER","07-08","VAN","D","L",1986-04-21,21,75,238.47,86.59,83.56,84.25,84.43,86.73,19.63,3.04,207.25,40.78,270.12,50.48,335.56,61.86,22.61,3.46,16.59,166.47,219.64,273.7,19.15,9.47,92.55
"Alex Edler","ALEX.EDLER","08-09","VAN","D","L",1986-04-21,22,79,258.3,88.38,85.34,85.2,87.81,89.94,28.97,3.81,218.9,37.59,298.99,51.93,429.32,59.61,27.62,3.09,25.16,181.31,247.06,369.71,24.53,13.23,89.86
"Alex Edler","ALEX.EDLER","09-10","VAN","D","L",1986-04-21,23,76,217.07,89.74,86.05,88.76,90.45,90.4,28.25,3.23,201.49,32.67,295.2,37.4,389.1,41.09,22.31,2.37,25.02,168.82,257.8,348.01,19.94,14.02,90.11
"Alex Edler","ALEX.EDLER","10-11","VAN","D","L",1986-04-21,24,49,185.68,94.23,87.36,89.56,91.22,90.48,32.5,1.99,179.86,26.02,272.44,31.77,368.14,35.45,22.8,2.4,30.51,153.84,240.67,332.69,20.4,18.07,92.35
"Alex Edler","ALEX.EDLER","11-12","VAN","D","L",1986-04-21,25,79,270.15,94.32,87.62,90.26,91.64,92.77,33.23,2,259.38,36.65,389.54,42.05,535.6,48.87,33.1,2.58,31.23,222.73,347.49,486.73,30.52,12.81,94.54
"Alex Edler","ALEX.EDLER","12-13","VAN","D","L",1986-04-21,26,43,155.82,85.61,84.37,88.56,90.88,89.08,12.97,2.18,112.27,20.8,169.19,21.85,243.79,24.47,12.23,1.5,10.79,91.47,147.34,219.32,10.73,11.55,89.52
"Alex Edler","ALEX.EDLER","13-14","VAN","D","L",1986-04-21,27,61,175.62,84.73,88.23,89.27,91.11,86.68,18.14,3.27,172.51,23.01,241.53,29.04,329.78,32.18,21.47,3.3,14.87,149.5,212.49,297.6,18.17,10.52,85.79
"Alex Edler","ALEX.EDLER","14-15","VAN","D","L",1986-04-21,28,71,210.02,100,87.25,88.53,89.73,89.64,26.93,0,181.45,26.52,258.37,33.46,350.04,40.05,23.44,2.71,26.93,154.93,224.91,309.99,20.73,14.84,100
"Alex Edler","ALEX.EDLER","15-16","VAN","D","L",1986-04-21,29,49,153.48,86.22,87.81,88.41,90.06,87.04,11.26,1.8,146.34,20.31,207.57,27.22,282.47,31.17,17.46,2.6,9.46,126.03,180.35,251.3,14.86,7.69,91.14
"Alex Edler","ALEX.EDLER","16-17","VAN","D","L",1986-04-21,30,67,136.32,100,82.38,84.18,86.25,85.69,7.7,0,98.45,21.05,139.62,26.23,194.8,31.06,11.02,1.84,7.7,77.4,113.39,163.74,9.18,7.82,100
"Alex Edler","ALEX.EDLER","17-18","VAN","D","L",1986-04-21,31,69,186.78,92.63,79.38,81.61,83.84,84.95,23.52,1.87,167.36,43.48,248.85,56.09,334.51,64.47,24.56,4.35,21.65,123.88,192.76,270.04,20.21,14.05,95.7
"Alex Edler","ALEX.EDLER","18-19","VAN","D","L",1986-04-21,32,54,171.38,95.25,85.46,86.81,87.54,85.84,21.64,1.08,152.37,25.93,214.45,32.59,275.43,39.19,17.4,2.87,20.56,126.44,181.86,236.24,14.53,14.2,95.83
"Alex Edler","ALEX.EDLER","19-20","VAN","D","L",1986-04-21,33,58,66.77,90.98,82.23,86,85.48,94.01,8.78,0.87,41.19,8.9,59.71,9.72,80.03,13.59,5.65,0.36,7.91,32.29,49.99,66.44,5.29,21.32,90.22
"Alex Frolov","ALEX.FROLOV","07-08","L.A","L","R",1982-06-19,25,71,230.42,85.62,86.69,85.79,86.9,85.33,18.52,3.11,175.9,27.01,256.94,42.55,332.24,50.08,20.7,3.56,15.41,148.89,214.39,282.16,17.14,10.53,88.49
"Alex Frolov","ALEX.FROLOV","08-09","L.A","L","R",1982-06-19,26,76,238.52,100,87.42,87.76,89.53,91.39,32.77,0,187.82,27.04,305.9,42.65,415.53,48.6,24.41,2.3,32.77,160.78,263.25,366.93,22.11,17.45,100
"Alex Frolov","ALEX.FROLOV","09-10","L.A","L","R",1982-06-19,27,80,178.72,89.5,82.64,81.87,84.23,83.83,16.53,1.94,138.82,29.16,199.87,44.26,267.98,50.19,15.76,3.04,14.59,109.66,155.61,217.79,12.72,11.91,93.35
"Alex Frolov","ALEX.FROLOV","10-11","NYR","L","R",1982-06-19,28,42,95.42,100,79.35,78.85,81.16,81.61,7.86,0,68.68,17.87,92.48,24.8,123,28.56,8.3,1.87,7.86,50.81,67.68,94.44,6.43,11.44,100
"Alex Galchenyuk","ALEX.GALCHENYUK","13-14","MTL","C","L",1994-02-12,19,64,130.3,91.36,81.82,84.08,86.15,86.21,9.83,0.93,109.15,24.25,155.06,29.36,219.24,35.25,14.32,2.29,8.9,84.9,125.7,183.99,12.03,9.01,96.16
"Alex Galchenyuk","ALEX.GALCHENYUK","14-15","MTL","C","L",1994-02-12,20,78,173.85,100,84.08,85.74,87.42,89.34,16.33,0,152.19,28.81,216.98,36.1,298.39,42.95,20.44,2.44,16.33,123.38,180.88,255.44,18,10.73,100
