"Player","EH_ID","Season","Team","Position","Shoots","Birthday","Age","GP","TOI","TOI/GP","TOI%","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"Alec Martinez","ALEC.MARTINEZ","19-20","L.A","D","L",1987-07-26,32,41,60.98,1.49,30.71,38,3,0,39,59,7,3,1,0
"Aleksander Barkov","ALEKSANDER.BARKOV","13-14","FLA","C","L",1995-09-02,18,54,138.1,2.56,46.24,77,11,0,59,115,22,6,2,0
"Aleksander Barkov","ALEKSANDER.BARKOV","14-15","FLA","C","L",1995-09-02,19,71,150.53,2.12,43.97,93,16,6,62,136,26,13,4,0
"Aleksander Barkov","ALEKSANDER.BARKOV","15-16","FLA","C","L",1995-09-02,20,64,181.17,2.83,49.62,80,21,5,63,138,36,12,1,0
"Aleksander Barkov","ALEKSANDER.BARKOV","16-17","FLA","C","L",1995-09-02,21,59,165.12,2.8,50.42,105,16,3,56,162,28,8,2,0
"Aleksander Barkov","ALEKSANDER.BARKOV","17-18","FLA","C","L",1995-09-02,22,77,256,3.32,65.8,136,36,2,26,246,58,9,3,0
"Aleksander Barkov","ALEKSANDER.BARKOV","18-19","FLA","C","L",1995-09-02,23,82,275.4,3.36,65.43,143,28,3,27,265,46,8,2,0
"Aleksander Barkov","ALEKSANDER.BARKOV","19-20","FLA","C","L",1995-09-02,24,66,218.2,3.31,66.15,101,25,3,13,226,36,9,3,0
"Ales Hemsky","ALES.HEMSKY","07-08","EDM","R","R",1983-08-13,24,74,269.05,3.64,56.08,112,58,5,45,196,99,20,4,0
"Ales Hemsky","ALES.HEMSKY","08-09","EDM","R","R",1983-08-13,25,72,273.27,3.8,58.14,136,30,3,49,257,56,9,2,2
"Ales Hemsky","ALES.HEMSKY","09-10","EDM","R","R",1983-08-13,26,21,76.32,3.63,53.26,37,9,1,18,61,11,5,2,0
"Ales Hemsky","ALES.HEMSKY","10-11","EDM","R","R",1983-08-13,27,47,133.6,2.84,49.03,71,11,2,53,116,20,7,1,0
"Ales Hemsky","ALES.HEMSKY","11-12","EDM","R","R",1983-08-13,28,67,142.72,2.13,43.98,59,20,3,76,91,37,10,1,0
"Ales Hemsky","ALES.HEMSKY","12-13","EDM","R","R",1983-08-13,29,35,90.23,2.58,44.39,46,8,4,45,65,20,8,3,0
"Ales Hemsky","ALES.HEMSKY","13-14","EDM","R","R",1983-08-13,30,53,125.38,2.37,43.31,56,14,1,78,81,22,5,1,0
"Ales Hemsky","ALES.HEMSKY","14-15","DAL","R","R",1983-08-13,31,75,148.3,1.98,34.4,50,23,9,102,75,37,16,3,0
"Ales Hemsky","ALES.HEMSKY","15-16","DAL","R","R",1983-08-13,32,74,119.33,1.61,31.51,46,14,2,100,71,33,3,1,0
"Ales Kotalik","ALES.KOTALIK","07-08","BUF","R","R",1978-12-23,28,78,223.47,2.86,42.49,103,41,10,75,157,68,16,1,0
"Ales Kotalik","ALES.KOTALIK","08-09","BUF","R","R",1978-12-23,29,55,149.5,2.72,39.42,65,10,2,96,99,25,8,1,0
"Ales Kotalik","ALES.KOTALIK","09-10","CGY","R","R",1978-12-23,30,26,53.77,2.07,38.59,26,6,0,24,42,13,1,1,0
"Ales Kotalik","ALES.KOTALIK","09-10","NYR","R","R",1978-12-23,30,45,158.18,3.52,59.54,91,18,1,16,155,29,5,2,0
"Alex Burmistrov","ALEX.BURMISTROV","11-12","WPG","C","L",1991-10-21,19,74,92.72,1.25,26.03,41,7,2,50,71,14,4,1,0
"Alex Burmistrov","ALEX.BURMISTROV","15-16","WPG","C","L",1991-10-21,23,79,75.97,0.96,18.35,18,12,5,73,28,19,10,2,0
"Alex Burmistrov","ALEX.BURMISTROV","16-17","ARI","C","L",1991-10-21,24,24,52.83,2.2,45.81,27,4,1,19,39,8,3,1,0
"Alex Burrows","ALEX.BURROWS","09-10","VAN","L","L",1981-04-11,28,82,113.85,1.39,23.63,79,20,2,66,106,26,6,1,0
"Alex Burrows","ALEX.BURROWS","10-11","VAN","L","L",1981-04-11,29,70,71.83,1.03,18.35,20,7,4,88,28,9,6,1,0
"Alex Burrows","ALEX.BURROWS","11-12","VAN","L","L",1981-04-11,30,77,155.32,2.02,37.66,79,29,3,77,136,38,4,0,0
"Alex Burrows","ALEX.BURROWS","12-13","VAN","L","L",1981-04-11,31,45,127.18,2.83,48.06,68,7,0,39,120,18,5,3,0
"Alex Burrows","ALEX.BURROWS","13-14","VAN","L","L",1981-04-11,32,47,109.73,2.33,42.08,67,10,3,44,100,23,7,0,0
"Alex Burrows","ALEX.BURROWS","14-15","VAN","L","L",1981-04-11,33,67,140.87,2.1,42.58,80,9,5,53,125,19,10,2,0
"Alex Burrows","ALEX.BURROWS","15-16","VAN","L","L",1981-04-11,34,76,145.35,1.91,37.53,102,13,4,35,152,20,10,2,0
"Alex Burrows","ALEX.BURROWS","17-18","OTT","L","L",1981-04-11,36,71,99.28,1.4,27.78,42,5,2,71,67,8,4,0,0
"Alex Chiasson","ALEX.CHIASSON","13-14","DAL","R","R",1990-10-01,22,78,252.48,3.24,54.39,154,23,2,54,244,42,7,2,0
"Alex Chiasson","ALEX.CHIASSON","14-15","OTT","R","R",1990-10-01,23,76,142.57,1.88,33.54,71,17,2,58,121,32,7,4,0
"Alex Chiasson","ALEX.CHIASSON","15-16","OTT","R","R",1990-10-01,24,75,83.45,1.11,22.6,34,10,1,60,51,18,3,1,0
"Alex Chiasson","ALEX.CHIASSON","16-17","CGY","R","R",1990-10-01,25,79,51.82,0.66,12.64,40,8,2,19,61,9,2,0,0
"Alex Chiasson","ALEX.CHIASSON","18-19","EDM","R","R",1990-10-01,27,73,183.87,2.52,58.32,91,19,2,19,166,33,4,1,0
"Alex Chiasson","ALEX.CHIASSON","19-20","EDM","R","R",1990-10-01,28,64,138.83,2.17,52.26,73,14,1,32,123,24,5,3,0
"Alex Debrincat","ALEX.DEBRINCAT","17-18","CHI","R","R",1997-12-18,19,81,164.23,2.03,36.65,74,10,5,95,108,22,9,0,0
"Alex Debrincat","ALEX.DEBRINCAT","18-19","CHI","R","R",1997-12-18,20,80,251.48,3.14,66.46,133,17,3,36,222,32,15,8,0
"Alex Debrincat","ALEX.DEBRINCAT","19-20","CHI","R","R",1997-12-18,21,69,226.58,3.28,65.52,119,18,1,20,222,34,4,0,0
"Alex Edler","ALEX.EDLER","07-08","VAN","D","L",1986-04-21,21,75,238.47,3.18,47.56,83,47,10,110,139,77,26,6,0
"Alex Edler","ALEX.EDLER","08-09","VAN","D","L",1986-04-21,22,79,258.3,3.27,48.33,139,25,6,95,229,39,13,3,0
"Alex Edler","ALEX.EDLER","09-10","VAN","D","L",1986-04-21,23,76,217.07,2.86,48.67,112,24,4,79,187,37,11,3,0
"Alex Edler","ALEX.EDLER","10-11","VAN","D","L",1986-04-21,24,49,185.68,3.79,61.91,109,17,2,23,198,29,6,2,0
"Alex Edler","ALEX.EDLER","11-12","VAN","D","L",1986-04-21,25,79,270.15,3.42,62.98,160,30,2,52,272,41,5,0,0
"Alex Edler","ALEX.EDLER","12-13","VAN","D","L",1986-04-21,26,43,155.82,3.62,61.27,87,9,5,22,148,18,9,2,0
"Alex Edler","ALEX.EDLER","13-14","VAN","D","L",1986-04-21,27,61,175.62,2.88,53.48,96,17,3,45,160,35,11,3,0
"Alex Edler","ALEX.EDLER","14-15","VAN","D","L",1986-04-21,28,71,210.02,2.96,58.96,111,21,7,40,194,28,12,2,0
"Alex Edler","ALEX.EDLER","15-16","VAN","D","L",1986-04-21,29,49,153.48,3.13,62.82,90,19,1,21,151,29,8,2,0
"Alex Edler","ALEX.EDLER","16-17","VAN","D","L",1986-04-21,30,67,136.32,2.03,43.05,46,14,5,73,102,26,8,1,0
"Alex Edler","ALEX.EDLER","17-18","VAN","D","L",1986-04-21,31,69,186.78,2.71,61.72,89,19,1,39,169,33,7,5,0
"Alex Edler","ALEX.EDLER","18-19","VAN","D","L",1986-04-21,32,54,171.38,3.17,65.5,73,20,0,26,149,27,0,0,0
"Alex Edler","ALEX.EDLER","19-20","VAN","D","L",1986-04-21,33,58,66.77,1.15,20.95,26,12,4,45,48,20,5,1,0
"Alex Frolov","ALEX.FROLOV","07-08","L.A","L","R",1982-06-19,25,71,230.42,3.25,44.97,93,30,7,113,137,68,20,3,0
"Alex Frolov","ALEX.FROLOV","08-09","L.A","L","R",1982-06-19,26,76,238.52,3.14,47.2,137,33,3,102,198,55,11,5,0
"Alex Frolov","ALEX.FROLOV","09-10","L.A","L","R",1982-06-19,27,80,178.72,2.23,39.74,61,23,4,121,100,34,7,2,0
"Alex Frolov","ALEX.FROLOV","10-11","NYR","L","R",1982-06-19,28,42,95.42,2.27,36.18,47,15,2,41,63,25,5,2,0
"Alex Galchenyuk","ALEX.GALCHENYUK","13-14","MTL","C","L",1994-02-12,19,64,130.3,2.04,34.11,57,14,1,73,100,25,6,0,1
"Alex Galchenyuk","ALEX.GALCHENYUK","14-15","MTL","C","L",1994-02-12,20,78,173.85,2.23,45.33,89,20,3,85,130,27,7,1,0
"Alex Galchenyuk","ALEX.GALCHENYUK","15-16","MTL","C","L",1994-02-12,21,79,201.03,2.54,47.29,122,26,2,65,176,36,9,2,0
"Alex Galchenyuk","ALEX.GALCHENYUK","16-17","MTL","C","L",1994-02-12,22,61,130.58,2.14,50.09,73,10,0,38,106,21,2,1,0
"Alex Galchenyuk","ALEX.GALCHENYUK","17-18","MTL","C","L",1994-02-12,23,80,224.17,2.8,57.57,126,19,1,53,214,37,3,2,0
"Alex Galchenyuk","ALEX.GALCHENYUK","18-19","ARI","C","L",1994-02-12,24,72,206.13,2.86,56.61,110,24,3,52,174,44,7,3,0
"Alex Galchenyuk","ALEX.GALCHENYUK","19-20","PIT","C","L",1994-02-12,25,45,67.15,1.49,32.43,30,6,1,51,42,8,2,0,0
"Alex Goligoski","ALEX.GOLIGOSKI","08-09","PIT","D","L",1985-07-30,23,45,176.03,3.91,59.71,79,25,2,25,149,41,9,0,1
"Alex Goligoski","ALEX.GOLIGOSKI","09-10","PIT","D","L",1985-07-30,24,68,252.93,3.72,59.9,127,19,4,38,222,42,11,2,0
"Alex Goligoski","ALEX.GOLIGOSKI","10-11","DAL","D","L",1985-07-30,25,22,95.68,4.35,68.89,49,5,1,7,91,14,5,2,0
"Alex Goligoski","ALEX.GOLIGOSKI","10-11","PIT","D","L",1985-07-30,25,60,215.5,3.59,56.65,95,20,2,52,173,44,10,2,0
"Alex Goligoski","ALEX.GOLIGOSKI","11-12","DAL","D","L",1985-07-30,26,67,210.15,3.14,61.32,93,20,3,44,161,43,10,3,0
"Alex Goligoski","ALEX.GOLIGOSKI","12-13","DAL","D","L",1985-07-30,27,46,132.97,2.89,49.5,47,17,1,64,80,28,13,3,0
"Alex Goligoski","ALEX.GOLIGOSKI","13-14","DAL","D","L",1985-07-30,28,80,257.4,3.22,54.37,122,31,6,55,257,47,14,3,0
"Alex Goligoski","ALEX.GOLIGOSKI","14-15","DAL","D","L",1985-07-30,29,80,164.73,2.06,35.7,80,17,7,93,132,30,14,6,0
"Alex Goligoski","ALEX.GOLIGOSKI","15-16","DAL","D","L",1985-07-30,30,81,156.87,1.94,38.56,52,27,2,100,98,48,4,2,0
"Alex Goligoski","ALEX.GOLIGOSKI","16-17","ARI","D","L",1985-07-30,31,79,171.33,2.17,45.58,70,17,5,79,130,31,12,3,0
"Alex Goligoski","ALEX.GOLIGOSKI","17-18","ARI","D","L",1985-07-30,32,77,147.77,1.92,41.32,52,12,4,103,93,22,16,3,0
"Alex Goligoski","ALEX.GOLIGOSKI","18-19","ARI","D","L",1985-07-30,33,75,139.28,1.86,37.01,46,17,3,108,84,31,9,1,0
"Alex Goligoski","ALEX.GOLIGOSKI","19-20","ARI","D","L",1985-07-30,34,68,132.78,1.95,37.76,45,19,2,105,74,31,8,3,0
"Alex Iafallo","ALEX.IAFALLO","18-19","L.A","C","L",1993-12-21,24,78,130.18,1.67,36.46,62,16,4,68,105,26,8,3,0
"Alex Iafallo","ALEX.IAFALLO","19-20","L.A","L","L",1993-12-21,25,68,170.58,2.51,55.59,119,14,0,30,172,17,2,0,0
"Alex Kerfoot","ALEX.KERFOOT","17-18","COL","C","L",1994-08-11,23,78,189.77,2.43,41.48,95,21,8,89,131,36,12,0,0
"Alex Kerfoot","ALEX.KERFOOT","18-19","COL","C","L",1994-08-11,24,78,153.48,1.97,35.82,63,16,6,103,99,30,12,5,0
"Alex Kerfoot","ALEX.KERFOOT","19-20","TOR","C","L",1994-08-11,25,62,82.55,1.33,29.27,18,8,3,79,43,12,4,2,0
"Alex Killorn","ALEX.KILLORN","12-13","T.B","C","L",1989-09-14,23,38,70.5,1.86,37.05,28,6,4,42,39,13,8,1,0
"Alex Killorn","ALEX.KILLORN","13-14","T.B","C","L",1989-09-14,24,82,154.63,1.89,36.19,54,11,5,115,82,19,9,2,0
"Alex Killorn","ALEX.KILLORN","14-15","T.B","C","L",1989-09-14,25,70,143.63,2.05,36.72,66,22,4,48,103,31,6,0,0
"Alex Killorn","ALEX.KILLORN","15-16","T.B","C","L",1989-09-14,26,80,183.5,2.29,40.92,85,20,4,87,142,31,8,2,0
"Alex Killorn","ALEX.KILLORN","16-17","T.B","C","L",1989-09-14,27,81,185.02,2.28,44.67,92,25,4,77,141,35,8,3,0
"Alex Killorn","ALEX.KILLORN","17-18","T.B","C","L",1989-09-14,28,79,226.05,2.86,54.44,119,22,5,58,212,38,10,2,0
"Alex Killorn","ALEX.KILLORN","18-19","T.B","C","L",1989-09-14,29,81,111,1.37,28.74,55,11,3,79,74,18,7,1,0
"Alex Killorn","ALEX.KILLORN","19-20","T.B","C","L",1989-09-14,30,66,172.28,2.61,53.52,100,13,0,53,159,17,3,2,0
"Alex Kovalev","ALEX.KOVALEV","07-08","MTL","R","L",1973-02-24,34,82,310.1,3.78,55.82,107,56,6,92,197,97,14,1,1
"Alex Kovalev","ALEX.KOVALEV","08-09","MTL","R","L",1973-02-24,35,77,294.07,3.82,55.93,150,23,4,86,237,60,14,3,0
"Alex Kovalev","ALEX.KOVALEV","09-10","OTT","R","L",1973-02-24,36,75,229.27,3.06,53.7,93,18,4,60,176,35,9,0,0
"Alex Kovalev","ALEX.KOVALEV","10-11","OTT","R","L",1973-02-24,37,54,120.22,2.23,41.77,42,15,2,67,69,29,9,3,0
"Alex Kovalev","ALEX.KOVALEV","10-11","PIT","R","L",1973-02-24,37,20,70.9,3.55,63.9,37,5,2,6,58,7,4,1,0
"Alex Nylander","ALEX.NYLANDER","19-20","CHI","L","R",1998-03-02,21,64,73.52,1.15,22.98,29,8,0,58,50,12,4,1,0
"Alex Ovechkin","ALEX.OVECHKIN","07-08","WSH","L","R",1985-09-17,21,82,427.48,5.21,83.29,104,58,4,38,285,132,18,2,0
"Alex Ovechkin","ALEX.OVECHKIN","08-09","WSH","L","R",1985-09-17,22,79,403.58,5.11,88.25,143,21,4,20,341,74,18,2,1
"Alex Ovechkin","ALEX.OVECHKIN","09-10","WSH","L","R",1985-09-17,23,71,337.55,4.75,85.6,121,19,2,18,291,63,15,4,0
"Alex Ovechkin","ALEX.OVECHKIN","10-11","WSH","L","R",1985-09-17,24,76,323.23,4.25,82.86,109,25,1,14,279,55,8,2,0
"Alex Ovechkin","ALEX.OVECHKIN","11-12","WSH","L","R",1985-09-17,25,74,267.55,3.62,73.35,119,15,2,18,240,51,9,3,0
"Alex Ovechkin","ALEX.OVECHKIN","12-13","WSH","L","R",1985-09-17,26,48,206.62,4.3,84.31,74,11,0,9,175,31,4,1,0
"Alex Ovechkin","ALEX.OVECHKIN","13-14","WSH","L","R",1985-09-17,27,77,374.9,4.87,93.1,123,27,1,17,349,73,28,7,0
"Alex Ovechkin","ALEX.OVECHKIN","14-15","WSH","L","R",1985-09-17,28,79,293.73,3.72,82.71,120,18,0,17,273,41,7,4,1
"Alex Ovechkin","ALEX.OVECHKIN","15-16","WSH","L","R",1985-09-17,29,77,325.37,4.23,89.55,137,18,0,10,285,56,23,12,0
"Alex Ovechkin","ALEX.OVECHKIN","16-17","WSH","L","R",1985-09-17,30,80,294.95,3.69,75.24,139,10,4,25,260,23,24,8,0
"Alex Ovechkin","ALEX.OVECHKIN","17-18","WSH","L","R",1985-09-17,31,79,331.93,4.2,87.1,122,21,0,12,277,52,13,11,0
"Alex Ovechkin","ALEX.OVECHKIN","18-19","WSH","L","R",1985-09-17,32,80,350.13,4.38,90.35,117,15,0,14,302,47,8,6,0
"Alex Ovechkin","ALEX.OVECHKIN","19-20","WSH","L","R",1985-09-17,33,67,311.12,4.64,90.27,95,12,1,13,262,31,19,13,0
"Alex Picard","ALEX.PICARD","08-09","OTT","D","L",1985-07-05,23,47,154.63,3.29,50.62,74,22,2,53,121,35,5,0,0
"Alex Picard","ALEX.PICARD","09-10","OTT","D","L",1985-07-05,24,43,80.97,1.88,38.09,29,7,4,47,59,16,5,1,0
"Alex Pietrangelo","ALEX.PIETRANGELO","10-11","STL","D","R",1990-01-18,20,79,228.25,2.89,52.9,108,34,2,59,192,47,7,0,0
"Alex Pietrangelo","ALEX.PIETRANGELO","11-12","STL","D","R",1990-01-18,21,81,222.03,2.74,54.27,107,24,0,118,192,39,6,2,0
"Alex Pietrangelo","ALEX.PIETRANGELO","12-13","STL","D","R",1990-01-18,22,47,127.73,2.72,54.69,53,16,4,60,100,33,6,2,0
"Alex Pietrangelo","ALEX.PIETRANGELO","13-14","STL","D","R",1990-01-18,23,81,215.37,2.66,49.97,95,27,3,108,154,44,12,3,0
"Alex Pietrangelo","ALEX.PIETRANGELO","14-15","STL","D","R",1990-01-18,24,77,195.55,2.54,49.64,73,21,5,105,145,44,15,3,0
"Alex Pietrangelo","ALEX.PIETRANGELO","15-16","STL","D","R",1990-01-18,25,70,164.97,2.36,50.25,47,22,5,103,93,35,8,2,0
"Alex Pietrangelo","ALEX.PIETRANGELO","16-17","STL","D","R",1990-01-18,26,78,191.75,2.46,50.35,72,22,4,108,124,37,11,2,0
"Alex Pietrangelo","ALEX.PIETRANGELO","17-18","STL","D","R",1990-01-18,27,77,223.98,2.91,58.8,90,19,5,54,192,33,13,4,0
"Alex Pietrangelo","ALEX.PIETRANGELO","18-19","STL","D","R",1990-01-18,28,70,186.07,2.66,54.81,85,11,1,60,153,24,4,0,0
"Alex Pietrangelo","ALEX.PIETRANGELO","19-20","STL","D","R",1990-01-18,29,68,203.38,2.99,65.66,104,14,2,24,204,22,9,5,0
"Alex Radulov","ALEX.RADULOV","07-08","NSH","R","L",1986-07-05,21,81,240.78,2.97,42.58,64,38,9,135,123,72,18,1,0
"Alex Radulov","ALEX.RADULOV","16-17","MTL","R","L",1986-07-05,30,76,206.17,2.71,59.85,104,19,3,40,162,33,6,2,0
"Alex Radulov","ALEX.RADULOV","17-18","DAL","R","L",1986-07-05,31,78,252.4,3.24,66.92,138,28,2,43,249,42,5,2,0
"Alex Radulov","ALEX.RADULOV","18-19","DAL","R","L",1986-07-05,32,68,210.42,3.09,70.75,111,13,1,40,206,25,11,3,0
"Alex Radulov","ALEX.RADULOV","19-20","DAL","R","L",1986-07-05,33,57,146.57,2.57,52.72,77,11,1,68,110,28,12,10,0
"Alex Semin","ALEX.SEMIN","07-08","WSH","L","R",1984-03-03,23,63,263.6,4.18,67.56,98,51,3,36,172,91,10,2,0
"Alex Semin","ALEX.SEMIN","08-09","WSH","L","R",1984-03-03,24,62,232.77,3.75,63.71,111,22,2,43,200,52,8,1,0
"Alex Semin","ALEX.SEMIN","09-10","WSH","L/R","R",1984-03-03,25,73,223.03,3.06,56.17,102,22,4,52,191,44,10,3,0
"Alex Semin","ALEX.SEMIN","10-11","WSH","R","R",1984-03-03,26,63,183.63,2.91,56.11,88,18,2,41,155,32,3,1,0
"Alex Semin","ALEX.SEMIN","11-12","WSH","R","R",1984-03-03,27,73,183.83,2.52,51.46,84,12,5,60,145,33,11,3,0
"Alex Semin","ALEX.SEMIN","12-13","CAR","R","R",1984-03-03,28,44,148.35,3.37,62.12,82,14,2,22,143,27,8,2,0
"Alex Semin","ALEX.SEMIN","13-14","CAR","R","R",1984-03-03,29,63,203.93,3.24,57.2,119,22,2,38,206,39,4,2,0
"Alex Semin","ALEX.SEMIN","14-15","CAR","R","R",1984-03-03,30,53,82.83,1.56,30.7,39,11,2,42,60,16,5,2,0
"Alex Steen","ALEX.STEEN","07-08","TOR","C","L",1984-03-01,23,76,125.32,1.65,24.67,52,29,6,71,88,46,14,3,0
"Alex Steen","ALEX.STEEN","08-09","STL","C","L",1984-03-01,24,60,103.08,1.72,26.63,38,19,3,92,58,23,4,0,0
"Alex Steen","ALEX.STEEN","09-10","STL","C","L",1984-03-01,25,68,177,2.6,44.74,94,19,1,59,158,32,4,1,0
"Alex Steen","ALEX.STEEN","10-11","STL","C","L",1984-03-01,26,72,208.9,2.9,54.19,111,27,1,52,181,40,5,1,0
"Alex Steen","ALEX.STEEN","11-12","STL","C","L",1984-03-01,27,43,102.92,2.39,47.46,48,11,0,47,89,19,1,0,0
"Alex Steen","ALEX.STEEN","12-13","STL","C","L",1984-03-01,28,40,99.93,2.5,49.03,67,12,2,43,98,23,2,0,0
"Alex Steen","ALEX.STEEN","13-14","STL","C/L","L",1984-03-01,29,68,216.68,3.19,58.96,112,28,1,47,215,50,10,3,0
