,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,description
29,penalty,Interference,Drake Caggiula,Paul Stastny,[22. 37.],1,11:16,CHI,VGK,CHI,16,VGK,54,0,0,8479465,8471669.0,Drake Caggiula Interference against Paul Stastny
49,penalty,Cross checking,Jake Bischoff,Andrew Shaw,[-97.  -8.],1,08:19,VGK,CHI,CHI,16,VGK,54,0,0,8476987,8476381.0,Jake Bischoff Cross checking against Andrew Shaw
140,penalty,Kneeing,Brayden McNabb,Patrick Kane,[-60. -32.],2,10:12,VGK,CHI,CHI,16,VGK,54,1,0,8475188,8474141.0,Brayden McNabb Kneeing against Patrick Kane
148,penalty,Tripping,Erik Gustafsson,Reilly Smith,[-69.   2.],2,08:23,CHI,VGK,CHI,16,VGK,54,1,0,8476979,8475191.0,Erik Gustafsson Tripping against Reilly Smith
176,penalty,Interference,Deryk Engelland,Alex DeBrincat,[94. 13.],2,01:31,VGK,CHI,CHI,16,VGK,54,1,0,8468674,8479337.0,Deryk Engelland Interference against Alex DeBrincat
181,penalty,Hi stick - double minor,Jonathan Toews,Brayden McNabb,[79. -6.],2,00:53,CHI,VGK,CHI,16,VGK,54,1,0,8473604,8475188.0,Jonathan Toews Hi stick - double minor against Brayden McNabb
278,penalty,Tripping,Jonathan Toews,Shea Theodore,[-28. -23.],4,01:38,CHI,VGK,CHI,16,VGK,54,1,1,8473604,8477447.0,Jonathan Toews Tripping against Shea Theodore
48,penalty,Roughing,Gabriel Landeskog,Max Pacioretty,[-3. 41.],1,08:53,COL,VGK,VGK,54,COL,21,0,1,8476455,8474157.0,Gabriel Landeskog Roughing against Max Pacioretty
49,penalty,Roughing,Max Pacioretty,Gabriel Landeskog,[-4. 42.],1,08:53,VGK,COL,VGK,54,COL,21,0,1,8474157,8476455.0,Max Pacioretty Roughing against Gabriel Landeskog
74,penalty,Holding,Nikita Zadorov,Reilly Smith,[-99. -16.],1,03:56,COL,VGK,VGK,54,COL,21,0,1,8477507,8475191.0,Nikita Zadorov Holding against Reilly Smith
76,penalty,Interference,Cody Glass,Matt Calvert,[-68.  -6.],1,03:54,VGK,COL,VGK,54,COL,21,0,1,8479996,8474685.0,Cody Glass Interference against Matt Calvert
123,penalty,Interference - Goalkeeper,Nazem Kadri,Marc-Andre Fleury,[-84.  -1.],2,14:25,COL,VGK,VGK,54,COL,21,1,2,8475172,8470594.0,Nazem Kadri Interference - Goalkeeper against Marc-Andre Fleury
136,penalty,Tripping,Paul Stastny,Nazem Kadri,[-35.  40.],2,11:16,VGK,COL,VGK,54,COL,21,1,3,8471669,8475172.0,Paul Stastny Tripping against Nazem Kadri
152,penalty,Holding,Cody Eakin,Gabriel Landeskog,[-98. -10.],2,07:24,VGK,COL,VGK,54,COL,21,1,4,8475236,8476455.0,Cody Eakin Holding against Gabriel Landeskog
209,penalty,Tripping,Erik Johnson,Ryan Reaves,[ 23. -39.],3,11:40,COL,VGK,VGK,54,COL,21,1,5,8473446,8471817.0,Erik Johnson Tripping against Ryan Reaves
241,penalty,Boarding,Ian Cole,Cody Glass,[-95.  25.],3,02:24,COL,VGK,VGK,54,COL,21,1,5,8474013,8479996.0,Ian Cole Boarding against Cody Glass
82,penalty,Holding,Brendan Guhle,Cody Glass,[-70. -36.],1,04:07,ANA,VGK,VGK,54,ANA,24,3,1,8478425,8479996.0,Brendan Guhle Holding against Cody Glass
147,penalty,Tripping,Jakob Silfverberg,Shea Theodore,[-71. -28.],2,11:29,ANA,VGK,VGK,54,ANA,24,3,1,8475164,8477447.0,Jakob Silfverberg Tripping against Shea Theodore
219,penalty,Interference,Ryan Getzlaf,William Karlsson,[-36.  12.],3,16:12,ANA,VGK,VGK,54,ANA,24,4,1,8470612,8476448.0,Ryan Getzlaf Interference against William Karlsson
225,penalty,Tripping,Sam Steel,Cody Eakin,[-96. -12.],3,15:33,ANA,VGK,VGK,54,ANA,24,5,1,8479351,8475236.0,Sam Steel Tripping against Cody Eakin
265,penalty,Hooking,William Carrier,Michael Del Zotto,[-80.   3.],3,05:33,VGK,ANA,VGK,54,ANA,24,5,2,8477478,8474584.0,William Carrier Hooking against Michael Del Zotto
125,penalty,Too many men on the ice,Jonathan Marchessault,,[24. 41.],2,14:36,VGK,MTL,VGK,54,MTL,8,2,1,8476539,,Too many men/ice served by Jonathan Marchessault
204,penalty,Tripping,Deryk Engelland,Nick Suzuki,[-62.  37.],2,01:49,VGK,MTL,VGK,54,MTL,8,2,2,8468674,8480018.0,Deryk Engelland Tripping against Nick Suzuki
240,penalty,Hooking,Tomas Tatar,Paul Stastny,[-97.   0.],3,14:40,MTL,VGK,VGK,54,MTL,8,3,2,8475193,8471669.0,Tomas Tatar Hooking against Paul Stastny
266,penalty,Holding,Nate Schmidt,Phillip Danault,[ 84. -36.],3,08:29,VGK,MTL,VGK,54,MTL,8,4,2,8477220,8476479.0,Nate Schmidt Holding against Phillip Danault
